page,item,before,after,source,status
sports-travel/formula-one,Favourites: Monaco price,"Jun 4–6 2027 · from £2,495","Jun 4–6 2027 · from £3,495",Page's own calendar card and formula-one/monaco-grand-prix package prices (lowest £3,495); dates per formula1.com/en/racing/2027 (Rd 8 04–06 Jun),fixed
sports-travel/formula-one,Favourites: British date/price,"Round 10 · Jul 17–19 2026 · from £1,295","Round 10 · Jul 2–4 2027 · from £1,095",Calendar card + british-grand-prix page (£1,095); formula1.com/en/racing/2027 Rd 10 02–04 Jul,fixed
sports-travel/formula-one,Favourites: Belgian date/price,"Round 12 · Aug 28–30 2026 · from £1,895","Round 12 · Jul 23–25 2027 · from £1,395",Calendar card + belgian-grand-prix page (£1,395); formula1.com/en/racing/2027 Rd 12 23–25 Jul,fixed
sports-travel/formula-one,Favourites: Singapore round/date/price,"Round 18 · Oct 2–4 2026 · from £3,195","Round 17 · Oct 9–11 2026 · from £2,795",Calendar card + singapore-grand-prix page (£2,795); formula1.com/en/racing/2026 lists Singapore as Rd 17 9–11 Oct 2026 (Rd 16 is the Bahrain GP at Sepang),fixed
sports-travel/formula-one,Favourites: Japanese date/price,"Round 4 · Apr 17–19 2026 · from £3,695","Round 4 · Apr 9–11 2027 · from £2,995",Calendar card + japanese-grand-prix page (£2,995); formula1.com/en/racing/2027 Rd 4 09–11 Apr,fixed
sports-travel/formula-one,Favourites: Abu Dhabi round/price,"Round 24 · Dec 4–6 2026 · from £2,895","Round 23 · Dec 4–6 2026 · from £2,495",Calendar card + abu-dhabi-grand-prix page (£2,495); formula1.com/en/racing/2026 lists Abu Dhabi as Rd 23 4–6 Dec 2026,fixed
sports-travel/formula-one,Meta description 'from' price,"from £2,195pp","from £1,095pp",Lowest price shown on page = British GP £1,095 (calendar card; matches british-grand-prix Grandstand package),fixed
sports-travel/formula-one,Hero 'Packages from' price,"Packages from &pound;1,295","Packages from &pound;1,095",Lowest price shown on page = British GP £1,095,fixed
sports-travel/formula-one,Enquiry race dropdown,"24 options incl. Emilia Romagna and Dutch; no Portuguese or Turkish; 2026 order","24 options = the 2027 rounds in official order (Bahrain … Abu Dhabi) incl. Portuguese and Turkish; Emilia Romagna and Dutch removed",formula1.com/en/racing/2027 (24 rounds; no Emilia Romagna / Dutch); every 2027 round has a page on the site,fixed
sports-travel/formula-one,Footer season list,"'2026 Season' list incl. Emilia Romagna and Dutch; no Portuguese or Turkish","'2027 Season' list of the 24 2027 rounds in official order (12 + 12 columns); link pattern kept (#calendar; United States → Austin page)",formula1.com/en/racing/2027,fixed
formula-one/australian-grand-prix,Season nav,"← Saudi Arabian | Chinese →","← Saudi Arabian | Japanese →",formula1.com/en/racing/2027 (Rd 2–4),fixed
formula-one/japanese-grand-prix,Season nav,"← Chinese | Miami →","← Australian | Chinese →",formula1.com/en/racing/2027 (Rd 3–5),fixed
formula-one/chinese-grand-prix,Season nav,"← Australian | Japanese →","← Japanese | Miami →",formula1.com/en/racing/2027 (Rd 4–6),fixed
formula-one/miami-grand-prix,Season nav,"← Japanese | Canadian →","← Chinese | Canadian →",formula1.com/en/racing/2027 (Rd 5–7),fixed
formula-one/monaco-grand-prix,Season nav,"← Canadian | Austrian →","← Canadian | Portuguese →",formula1.com/en/racing/2027 (Rd 7–9),fixed
formula-one/portuguese-grand-prix,Season nav,"← Hungarian | Turkish →","← Monaco | British →",formula1.com/en/racing/2027 (Rd 8–10),fixed
formula-one/british-grand-prix,Season nav,"← Austrian | Belgian →","← Portuguese | Austrian →",formula1.com/en/racing/2027 (Rd 9–11),fixed
formula-one/austrian-grand-prix,Season nav,"← Monaco | British →","← British | Belgian →",formula1.com/en/racing/2027 (Rd 10–12),fixed
formula-one/belgian-grand-prix,Season nav,"← British | Hungarian →","← Austrian | Hungarian →",formula1.com/en/racing/2027 (Rd 11–13),fixed
formula-one/hungarian-grand-prix,Season nav,"← Belgian | Portuguese →","← Belgian | Italian →",formula1.com/en/racing/2027 (Rd 12–14),fixed
formula-one/italian-grand-prix,Season nav,"← Dutch | Spanish →","← Hungarian | Spanish →",formula1.com/en/racing/2027 (Rd 13–15),fixed
formula-one/azerbaijan-grand-prix,Season nav,"← Spanish | Bahrain GP at Sepang →","← Spanish | Turkish →",formula1.com/en/racing/2027 (Rd 15–17),fixed
formula-one/turkish-grand-prix,Season nav,"← Portuguese | Dutch →","← Azerbaijan | Singapore →",formula1.com/en/racing/2027 (Rd 16–18),fixed
formula-one/singapore-grand-prix,Season nav,"← Bahrain GP at Sepang | Mexico City →","← Turkish | United States (Austin) →",formula1.com/en/racing/2027 (Rd 17–19),fixed
formula-one/mexico-city-grand-prix,Season nav,"← Singapore | São Paulo →","← United States (Austin) | São Paulo →",formula1.com/en/racing/2027 (Rd 19–21),fixed
formula-one/dutch-grand-prix,Season nav (no 2027 round),"← Turkish | Italian →","← Hungarian | Italian →","No Dutch round in 2027 (formula1.com/en/racing/2027); linked to its actual 2026 neighbours per formula1.com/en/racing/2026 (Rd 11 Hungary, Rd 13 Italy)",client-to-confirm
formula-one/malaysian-grand-prix,Season nav (no 2027 round),"← Azerbaijan | Singapore →",unchanged,"Page is the 2026 Bahrain GP at Sepang (Rd 16, 2–4 Oct 2026) — Azerbaijan and Singapore are its true neighbours per formula1.com/en/racing/2026; no 2027 round to link",client-to-confirm
formula-one/bahrain-grand-prix; saudi-arabian; canadian; spanish; sao-paulo; las-vegas; qatar; abu-dhabi,Season nav,already 2027 neighbours (Bahrain/Abu Dhabi wrap season end to start),unchanged,formula1.com/en/racing/2027,no-change-needed
formula-one/austin-grand-prix,Season nav,page has no prev/next block,unchanged (template page; not added),n/a,no-change-needed
formula-one/qatar-grand-prix,Hero date hedge,"27–29 November 2026 (subject to final confirmation)","27–29 November 2026",formula1.com/en/racing/2026 (Rd 22 Qatar 27–29 Nov),fixed
formula-one/qatar-grand-prix,Intro hedge,"… Booking terms stay flexible until the event schedule is finally confirmed.",sentence removed,formula1.com/en/racing/2026,fixed
formula-one/singapore-grand-prix,At-a-glance Transfers row,"Local transport on entry-level packages; private transfers on premium packages","Private Changi airport transfers on every tier; walk to the gates on race days","Page's own package cards (Grandstand tier: 'Private Changi airport transfers; walk to the gates on race days'), inclusions list and FAQ ('Every tier includes private transfers from Changi')",fixed
formula-one/abu-dhabi-grand-prix,Transfer times (FAQ + JSON-LD + body copy),"From Saadiyat Island and the Corniche, premium packages include private transfers of around 20–30 minutes.","From Saadiyat Island, premium packages include a private transfer of around 20 minutes; from the Corniche, allow around 30–40 minutes.","Page's hotel cards (Jumeirah Saadiyat ~20 min; Conrad Etihad Towers ~30 min; Emirates Palace 30–40 min); central Abu Dhabi ~30 km/30 min to Yas Marina (Etihad Airways Yas Island guide / motorsporttickets.com)",fixed
formula-one/portuguese-grand-prix,Flights (FAQ + JSON-LD),"British Airways and easyJet fly direct from London Heathrow to Faro in around 2 hours 50 minutes.","British Airways flies direct from London Heathrow to Faro in around 2 hours 50 minutes, and easyJet flies direct from London Gatwick.","britishairways.com Algarve page / flightconnections LHR-FAO (BA only carrier LHR–FAO, BA510–516 from T5); easyJet does not operate at Heathrow — London bases Gatwick, Luton, Southend (easyjet.com / Wikipedia)",fixed
formula-one/portuguese-grand-prix,Flights (inclusions list),"Return direct flights London Heathrow–Faro with British Airways or easyJet (around 2 hrs 50 mins)","Return direct flights to Faro (around 2 hrs 50 mins) with British Airways from London Heathrow or easyJet from London Gatwick",As above,fixed
formula-one/portuguese-grand-prix,Flights (at-a-glance),"Direct from Heathrow to Faro with British Airways or easyJet, around 2 hrs 50 mins","Direct to Faro with British Airways from Heathrow or easyJet from Gatwick, around 2 hrs 50 mins",As above,fixed
formula-one/austin-grand-prix,Rough Creek Lodge location line,"Texas Hill Country · Glen Rose","Glen Rose · gateway to the Hill Country","roughcreek.com/brochure: 'near Glen Rose, Texas … 9,000 scenic acres at the gateway to the renowned Texas Hill Country'",fixed
formula-one/austin-grand-prix,Rough Creek Lodge acreage/drive time,"Eleven thousand acres of open Texas country, roughly two hours from Fort Worth.","Nine thousand acres of open Texas country near Glen Rose, around 75 minutes from Fort Worth.","roughcreek.com/brochure: '9,000 scenic acres', 'about 75 minutes from Downtown Fort Worth', '90 minutes southwest of Downtown Dallas'",fixed
formula-one/austin-grand-prix,Rough Creek itinerary step,"Two or three nights in the Hill Country.","Two or three nights near Glen Rose, at the gateway to the Hill Country.",roughcreek.com/brochure,fixed
formula-one/austin-grand-prix,Rough Creek FAQ (visible + JSON-LD),"Extensions to Rough Creek Lodge in the Hill Country and Hotel Drover …","Extensions to Rough Creek Lodge near Glen Rose and Hotel Drover …",roughcreek.com/brochure,fixed
formula-one/austin-grand-prix,Rough Creek image alt,"Open Texas Hill Country at sunset near Glen Rose","Open Texas country at sunset near Glen Rose",roughcreek.com/brochure,fixed
formula-one/mexico-city-grand-prix,Luxury Race Weekend hotel line,"The St. Regis Mexico City or Four Seasons Mexico City","The St. Regis Mexico City or Ritz-Carlton Mexico City","Page's own hotel cards: St. Regis and Ritz-Carlton tagged 'Luxury Race Weekend'; Four Seasons tagged 'Premium Mexico City · Hospitality Experience'",fixed
sports-travel/rugby,Six Nations FAQ (visible + JSON-LD),"… the best city break of the five.","… the best city break of the six.","Six Nations has six host cities (London, Edinburgh, Cardiff, Dublin, Paris, Rome); page itself says 'Six cities, five weekends'",fixed
sports-travel/rugby/six-nations,Band quote,"Cardiff with the roof shut is the loudest ninety minutes in sport.","Cardiff with the roof shut is the loudest eighty minutes in sport.","World Rugby Law 5: a match lasts 80 minutes (two 40-minute halves)",fixed
sports-travel/tennis/us-open,Finals in Manhattan package blurb,"Labor Day weekend in New York with the finals at the end of it.","Finals weekend in New York, the weekend after Labor Day.","Labor Day 2027 = Mon 6 Sep 2027 (first Monday of September); page's dates 29 Aug–12 Sep 2027 put the finals on 11–12 Sep; usopen.org/Wikipedia: tournament's middle weekend coincides with Labor Day",fixed
