page,item,old_value,new_value,notes
"bahrain-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Sakhir, Bahrain &middot; 12&ndash;14 March 2027 (provisional season opener &mdash; subject to regional situation; calendar confirmed autumn 2026) &middot; Bahrain International Circuit</p>","<p class=""hero-sub"">Sakhir, Bahrain &middot; 12&ndash;14 March 2027, race Sunday 14 March &middot; Bahrain International Circuit</p>","Round 1. Provisional / ""calendar confirmed autumn 2026"" hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"bahrain-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Night race, provisional opener</p>","<p class=""hero-meta"">Format: Round 1 of 24 &middot; season opener &middot; sprint weekend &middot; night race</p>","Bahrain is a sprint event in 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"bahrain-grand-prix-2027.html","body copy","The 2027 date is provisional until the calendar is confirmed, so we take bookings on flexible terms and confirm every detail with you before anything becomes committed.","The 2027 calendar is confirmed: Bahrain is round one, 12&ndash;14 March, and carries a sprint for the first time. We confirm every detail with you before anything becomes committed.","Hedge replaced with confirmed date and sprint status"
"bahrain-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">March</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">12&ndash;14 March 2027</p>","Confirmed weekend replaces month-only slot"
"bahrain-grand-prix-2027.html","body copy","hold one week and roll to Jeddah (provisional 21 Mar)","hold one week and roll to Jeddah (race Sunday 21 March 2027)","Saudi double-header date confirmed"
"saudi-arabian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Jeddah, Saudi Arabia &middot; 19&ndash;21 March 2027 (provisional &mdash; subject to regional situation) &middot; Jeddah Corniche Circuit</p>","<p class=""hero-sub"">Jeddah, Saudi Arabia &middot; 19&ndash;21 March 2027, race Sunday 21 March &middot; Jeddah Corniche Circuit</p>","Round 2. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"saudi-arabian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Night race</p>","<p class=""hero-meta"">Format: Round 2 of 24 &middot; conventional race weekend (no sprint) &middot; night race</p>","Jeddah is not a 2027 sprint event"
"saudi-arabian-grand-prix-2027.html","body copy","The 2027 date is provisional until the calendar is confirmed, so we take bookings on flexible terms and keep you informed at every step before anything becomes committed.","The 2027 calendar is confirmed: Jeddah is round two, 19&ndash;21 March, a week after Bahrain. We keep you informed at every step before anything becomes committed.","Hedge replaced with confirmed date"
"saudi-arabian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">March Jeddah</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">19&ndash;21 March 2027, Jeddah</p>","Confirmed weekend"
"australian-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-03-05"",""endDate"":""2027-03-07""","""startDate"":""2027-04-02"",""endDate"":""2027-04-04""","Was 5-7 Mar 2027; official weekend is 2-4 Apr 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"australian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Melbourne, Australia &middot; 2027 provisional &mdash; expect early&ndash;mid March slot (calendar confirmed autumn 2026) &middot; Albert Park Circuit</p>","<p class=""hero-sub"">Melbourne, Australia &middot; 2&ndash;4 April 2027, race Sunday 4 April &middot; Albert Park Circuit</p>","Round 3. ""expect early-mid March slot"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"australian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Street-park circuit; provisional early-season round</p>","<p class=""hero-meta"">Format: Round 3 of 24 &middot; sprint weekend &middot; street-park circuit</p>","Australia is a sprint event in 2027"
"australian-grand-prix-2027.html","body copy","Melbourne opens the season as a city-wide carnival","Melbourne turns race week into a city-wide carnival","Melbourne is round 3 in 2027, not the season opener"
"australian-grand-prix-2027.html","body copy","it becomes an unofficial hub for teams, media and travelling fans every March.","it becomes an unofficial hub for teams, media and travelling fans every race week.","Race moved from March to April"
"australian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">March Melbourne</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">2&ndash;4 April 2027, Melbourne</p>","Confirmed weekend"
"australian-grand-prix-2027.html","at a glance / climate","<p class=""cl-v"">15&ndash;28&deg;C</p><p class=""cl-n"">famously four seasons in a day, 15&ndash;28&deg;C. Layers, always.</p>","<p class=""cl-v"">Changeable</p><p class=""cl-n"">Melbourne is famously four seasons in a day &mdash; layers, always. Temperature guidance is being reconfirmed for the April slot.</p>","March figures no longer apply to an April race; dependency logged"
"australian-grand-prix-2027.html","JSON-LD FAQ","""text"": ""March Melbourne: famously four seasons in a day, 15–28°C. Layers, always.""","""text"": ""Melbourne is famously four seasons in a day — layers, always. Temperature guidance is being reconfirmed for the April slot.""","Pack answer no longer cites March figures"
