page,card_id,hotel,shown_now,unit,basis_line,status,low_gbp,high_gbp,room,board,taxes,low_basis,high_basis,samples,fx,checked,note
"/luxury-travel/europe/greece","sani-asterias","Sani Asterias","£690–£2,180","per night","Varies by season","range","690","2180","lowest-priced suite offered (all-suite hotel; category not shown)","not stated","included (Google ""nightly price with taxes + fees"")","2027-04-29/30 — GBP 692 via Official site","2027-08-07/14 — GBP 2176 via Official site","2027-04-29/30: GBP 692 (https://www.google.com/travel/search?q=Sani%20Asterias%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAEGB0SBwjrDxAEGB4YATICEAAqBwoFOgNHQlA) | 2027-08-07/14: GBP 2176 (https://www.google.com/travel/search?q=Sani%20Asterias%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Sani Resort opens roughly late April to late October; Google returned no price for 1-night stays in May/June 2027 and the August 2027 price is for a 7-night stay (Sani applies minimum stays in high season). Both ends come from the hotel's own site via Google. Range is very wide (late-April opening vs. peak August)."
"/luxury-travel/europe/greece","porto-sani","Porto Sani","£1,420","per night","Guide rate for one season · One Bedroom Suite","single","1420","","One Bedroom Suite (Grand Balcony, garden/pool view)","not stated","included (Google ""nightly price with taxes + fees"")","2027-08-07/14 — GBP 1429 via Official site","2027-08-07/14 — GBP 1429 via Official site","2027-08-07/14: GBP 1429 (https://www.google.com/travel/search?q=Porto%20Sani%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Only one dated price found: 7–14 Aug 2027 (7 nights, minimum-stay period), hotel's own site via Google. Seasonal (roughly late Apr–late Oct); no prices returned for Oct 2026, May 2027 or June 2027 samples."
"/luxury-travel/europe/greece","sani-dunes","Sani Dunes","£1,220","per night","Guide rate for one season · Double Room, Pool View","single","1220","","Double Room, Pool View","not stated","included (Google ""nightly price with taxes + fees"")","2027-08-07/14 — GBP 1227 via Official site","2027-08-07/14 — GBP 1227 via Official site","2027-08-07/14: GBP 1227 (https://www.google.com/travel/search?q=Sani%20Dunes%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Only one dated price found: 7–14 Aug 2027 (7 nights), hotel's own site via Google. Adults-focused seasonal hotel (roughly May–Oct); no prices for Oct 2026, May or June 2027 samples."
"/luxury-travel/europe/greece","ikos-olivia","Ikos Olivia","£330–£700","per night","Varies by season · all inclusive","range","330","700","Double/Twin (Bungalow Double Garden View or Superior Double Inland View)","all inclusive","included (Google ""nightly price with taxes + fees"")","2026-10-28/11-01 — GBP 334 via Official site","2027-08-07/14 — GBP 700 via Vio.com (Standard Room)","2026-10-28/11-01: GBP 334 (https://www.google.com/travel/search?q=Ikos%20Olivia%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxAKGBwSBwjqDxALGAEYATICEAAqBwoFOgNHQlA) | 2027-08-07/14: GBP 700 (https://www.google.com/travel/search?q=Ikos%20Olivia%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Ikos sells all-inclusive only. Ikos applies minimum stays: Google returned nothing for 1-night 2027 searches; the August 2027 price is for a 7-night stay and the late-October 2026 price for a 4-night stay. Season roughly late April – early November; May/June 2027 samples returned no price at all, so the true spread may be wider. "
"/luxury-travel/europe/greece","ikos-oceania","Ikos Oceania","£320–£610","per night","Varies by season · all inclusive","range","320","610","Standard/Superior Double (cheapest category; OTA rows showed Junior Suite Sea View from GBP 374 in Oct 2026)","all inclusive","included (Google ""nightly price with taxes + fees"")","2026-10-28/11-01 — GBP 323 via Official site","2027-08-07/14 — GBP 610 via dealbase.com (Standard Room)","2026-10-28/11-01: GBP 323 (https://www.google.com/travel/search?q=Ikos%20Oceania%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxAKGBwSBwjqDxALGAEYATICEAAqBwoFOgNHQlA) | 2027-08-07/14: GBP 610 (https://www.google.com/travel/search?q=Ikos%20Oceania%20Halkidiki&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Ikos sells all-inclusive only. Ikos applies minimum stays: Google returned nothing for 1-night 2027 searches; the August 2027 price is for a 7-night stay and the late-October 2026 price for a 4-night stay. Season roughly late April – early November; May/June 2027 samples returned no price at all, so the true spread may be wider. "
"/luxury-travel/europe/greece","domes-of-elounda","Domes of Elounda","£260–£480","per night","Varies by season","range","260","480","lowest-priced room (name not shown; TUI/official rows)","not stated","included (Google ""nightly price with taxes + fees"")","2027-05-15/16 — GBP 262 via Booking.com","2027-08-07/08 — GBP 475 via Booking.com","2026-10-01/02: GBP 304 (https://www.google.com/travel/search?q=Domes%20of%20Elounda%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxAKGAESBwjqDxAKGAIYATICEAAqBwoFOgNHQlA) | 2026-10-10/11: GBP 304 (https://www.google.com/travel/search?q=Domes%20of%20Elounda%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxAKGAoSBwjqDxAKGAsYATICEAAqBwoFOgNHQlA) | 2027-05-15/16: GBP 262 (https://www.google.com/travel/search?q=Domes%20of%20Elounda%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAFGA8SBwjrDxAFGBAYATICEAAqBwoFOgNHQlA) | 2027-06-19/20: GBP 339 (https://www.google.com/travel/search?q=Domes%20of%20Elounda%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAGGBMSBwjrDxAGGBQYATICEAAqBwoFOgNHQlA) | 2027-08-07/08: GBP 475 (https://www.google.com/travel/search?q=Domes%20of%20Elounda%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGAgYATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Seasonal resort (roughly April–October)."
"/luxury-travel/europe/greece","daios-cove","Daios Cove","£270–£540","per night","Varies by season · Deluxe Room","range","270","540","Deluxe Room (Sea View is the cheapest named category; the official-site headline is slightly lower, probably a non-sea-view Deluxe Room)","not stated","included (Google ""nightly price with taxes + fees"")","2026-11-02/03 — GBP 274 via Official site","2027-08-07/14 — GBP 533 via Official site","2026-10-10/11: GBP 359 (https://www.google.com/travel/search?q=Daios%20Cove%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxAKGAoSBwjqDxAKGAsYATICEAAqBwoFOgNHQlA) | 2026-11-02/03: GBP 274 (https://www.google.com/travel/search?q=Daios%20Cove%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjqDxALGAISBwjqDxALGAMYATICEAAqBwoFOgNHQlA) | 2027-05-15/19: GBP 346 (https://www.google.com/travel/search?q=Daios%20Cove%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAFGA8SBwjrDxAFGBMYATICEAAqBwoFOgNHQlA) | 2027-06-19/23: GBP 461 (https://www.google.com/travel/search?q=Daios%20Cove%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAGGBMSBwjrDxAGGBcYATICEAAqBwoFOgNHQlA) | 2027-08-07/14: GBP 533 (https://www.google.com/travel/search?q=Daios%20Cove%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGA4YATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Seasonal (roughly April–early November). Prices for May/June/August 2027 are for 4- and 7-night stays (no 1-night availability was returned). The 10–14 Oct 2026 4-night sample (GBP 758, only Collection Junior Suites left) is excluded as a suite price."
"/luxury-travel/europe/greece","domes-zeen","Domes Zeen Chania","On request","","","unverified","","","not established","not stated","unknown","","","","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. No price returned for any date sample (Oct 2026 – Sep 2027, 1-night and 4-night, two query variants). Marriott/Luxury Collection 2027 rates may not yet be distributed to OTAs; the hotel is seasonal (roughly April–October)."
"/luxury-travel/europe/greece","amirandes","Grecotel Amirandes","£410–£640","per night","Varies by season","range","410","640","lowest-priced room (name not shown; hotel's own site via Google)","not stated","included (Google ""nightly price with taxes + fees"")","2027-06-19/20 — GBP 414 via Official site","2027-08-07/08 — GBP 631 via Official site","2027-06-19/20: GBP 414 (https://www.google.com/travel/search?q=Amirandes%20Grecotel%20Boutique%20Resort%20Gouves%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAGGBMSBwjrDxAGGBQYATICEAAqBwoFOgNHQlA) | 2027-08-07/08: GBP 631 (https://www.google.com/travel/search?q=Amirandes%20Grecotel%20Boutique%20Resort%20Gouves%20Crete&hl=en-GB&gl=GB&ts=CAESABogCgIaABIaEhIKBwjrDxAIGAcSBwjrDxAIGAgYATICEAAqBwoFOgNHQlA)","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. Google only matched the hotel under the query ""Amirandes A Resort to Live Crete"" (Grecotel's current branding); the Oct 2026 and May 2027 samples under the old name returned nothing. Seasonal (roughly April–October), so the true low (spring/autumn) is probably below the June figure."
"/luxury-travel/europe/greece","ikos-kissamos","Ikos Kissamos","On request","","","unverified","","","not established","all inclusive","unknown","","","","Google Hotels prices were fetched directly in GBP (gl=GB, currency GBP); other currencies converted at 1 GBP = USD 1.3345 / EUR 1.1656 / ISK 161.3 / SEK 13.12 (open.er-api.com, 23 Sep 2026)","2026-09-23","Google Hotels metasearch, server-rendered page fetched with explicit check-in/check-out dates encoded in the URL (ts parameter); price = lowest nightly rate shown ""with taxes + fees"" across booking sites or the hotel's own site, 2 adults. Google substitutes other dates when it has no price for the requested ones, so only samples whose returned dates matched a real search are listed. Room names are only shown for OTA rows, so the entry category is inferred from the cheapest named row. No price returned for any of ten date samples (1-night and 4/7-night stays, Oct 2026 – Sep 2027). Ikos Kissamos (opened 2025) does not appear to distribute rates to Google/OTAs yet; the Ikos booking engine is JavaScript-only."
