"reference","page","image","action","resolution","new_image","notes"
"14","abu-dhabi-grand-prix-2026.html","assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-band-01.jpg","Photograph verified as W Abu Dhabi - Yas Island above the Yas Marina basin at dusk. Alt and figcaption rewritten to describe that view instead of promising a circuit view from the grandstands."
"16","abu-dhabi-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-w-yas-island-ext-01.jpg","Replace","removed-gap-recorded","","Hotel exterior used for the Bocelli / Etihad Arena card. No Etihad Arena photography exists in the library, so the image was removed and the card left as text. NEEDS: authentic photograph of Etihad Arena, Yas Island (or the confirmed Bocelli performance)."
"17","abu-dhabi-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-jumeirah-saadiyat-ext-01.jpg","Replace","removed-gap-recorded","","Resort pool used for Ferrari World. No Ferrari World photography exists in the library, so the image was removed. NEEDS: authentic Ferrari World Abu Dhabi photograph."
"54","austin.html","assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-06.jpg","Quality","replaced","assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-04.jpg","Grandstand Experience package card. The 06 frame is a panning shot with the grandstand the card is selling reduced to motion blur. Replaced with 04, a sharp wide frame of the whole field into Turn 1 at COTA, 2000x1332. Alt rewritten to describe the photograph."
"69","australian-grand-prix-2027.html","assets/img/sports/library/f1-australia-2026/f1-australia-2026-06.jpg","Quality","replaced","assets/img/sports/library/f1-australia-2026/f1-australia-2026-01.jpg","Editorial band under the hero. 06 is a single-car pan with a heavily blurred crowd and its alt said 'Cars' plural. Replaced with 01, sharp, Albert Park lake and the Melbourne skyline behind the cars, 2000x1333."
"75","australian-grand-prix-2027.html","assets/img/sports/f1/australian-grand-prix-2027/f1-australian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/australian-grand-prix-2027/f1-australian-band-01.jpg","Photograph is Melbourne's skyline and Princes Bridge over the Yarra at dusk, not Albert Park. Alt and figcaption rewritten."
"100","austrian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-hero-01.jpg","Replace","removed-gap-recorded","","Photo is Kotor, Montenegro, under a 'Graz old town' card. No Graz cityscape exists in the library (only Graz hotel press shots). Image removed. NEEDED: Graz old town / Schlossberg clock tower / Kunsthaus."
"102","austrian-grand-prix-2027.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-strawberries.jpg","Replace","removed-gap-recorded","","Wimbledon strawberry ice cream under a 'Zotter chocolate factory' card. No Zotter imagery in the library. Image removed. NEEDED: Zotter chocolate factory, Riegersburg, Styria."
"116","azerbaijan-grand-prix-2026.html","assets/img/luxury/europe/montenegro/montenegro-hero-01.jpg","Replace","removed-gap-recorded","","Kotor (Montenegro) removed from the Icheri Sheher card. No Baku old-city photography in the library. NEEDS: Icheri Sheher / Maiden Tower / Shirvanshahs Palace photograph."
"117","azerbaijan-grand-prix-2026.html","assets/img/luxury/middle-east/dubai/dubai-marina-night-01.jpg","Replace","replaced","assets/img/hotels/fairmont-baku-flame-towers/fairmont-baku-flame-towers-ext-01.jpg","Dubai Marina removed. Replaced with the official Fairmont Baku press photograph, which shows the Flame Towers themselves lit at dusk - the exact named attraction. Alt describes only what is shown. No Dubai imagery now remains on this page."
"118","azerbaijan-grand-prix-2026.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort removed from the Gobustan day-trip card. NEEDS: Gobustan rock art / mud volcanoes photograph."
"124","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-grandstand-experience.jpg","Replace","replaced","assets/img/sports/library/f1-bahrain-2025-sakhir-reference/f1-bahrain-2025-sakhir-reference-04.jpg","Confirmed wrong venue: the file shows the Baku street circuit (Baku Ferris Wheel, Flame Towers-side towers, F1 75 boards). Replaced with a sharp Sakhir frame of the field through the Turn 1 complex, matching the card's Turn 1 Grandstand product. 2000x1354."
"125","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-premium-bahrain.jpg","Replace","caption-corrected","","Reviewer said this showed Yas Marina; it does not. The photograph is Bahrain International Circuit's covered main grandstand at night, with Gulf Air trackside branding (the Bahrain GP title sponsor) and the pit buildings opposite. It matches the Premium Bahrain product exactly, so the image was kept and only the placeholder alt ('Premium Bahrain at the Bahrain Grand Prix') was replaced with a description of what is shown."
"129","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-band-01.jpg","Caption / replace","replaced","assets/img/sports/library/f1-bahrain-2025-sakhir-reference/f1-bahrain-2025-sakhir-reference-06.jpg","The old file is an aerial of SEPANG CIRCUIT, Malaysia (name painted on the grandstand roof) - not Bahrain. Swapped for genuine 2025 Sakhir grid photography from the library; caption kept."
"130","bahrain-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-emirates-palace-ext-01.jpg","Verify / replace","removed-gap-recorded","","Abu Dhabi's Emirates Palace under 'Bahrain Fort and the National Museum'. No Bahrain destination photography exists anywhere in the repo. GAP: Bahrain Fort (Qal'at al-Bahrain) at sunset / Bahrain National Museum."
"131","bahrain-grand-prix-2027.html","assets/img/luxury/africa/index/africa-about-01.jpg","Verify / replace","removed-gap-recorded","","Generic African courtyard under 'Manama Souq and the Pearling Path'. GAP: Manama Souq / Pearling Path, Muharraq (UNESCO)."
"132","bahrain-grand-prix-2027.html","assets/img/luxury/north-america/index/north-america-destination-arizona.jpg","Replace","removed-gap-recorded","","Arizona desert resort under 'Royal Camel Farm and the Tree of Life'. GAP: Royal Camel Farm, Janabiyah / Tree of Life, Sakhir."
"133","bahrain-grand-prix-2027.html","assets/img/luxury/index/luxury-region-north-america.jpg","Verify / replace","removed-gap-recorded","","Unverified clifftop terrace under 'Bahrain Bay dining scene'. GAP: a Bahrain Bay / Manama waterfront dining photograph."
"137","bali.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/bali/bali-01.jpg","Unverified boulder-and-pool resort (also used for Japan and Thailand) replaced with the verified Bali rice-terrace destination photograph."
"142","belgian-grand-prix-2027.html","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-03.jpg","Quality","already-resolved","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-05.jpg","No longer deployed. The page carries the approved Eau Rouge hero and the sharp 2026 qualifying frame."
"143","belgian-grand-prix-2027.html","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-02.jpg","Quality","already-resolved","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-05.jpg","No longer deployed."
"147","belgian-grand-prix-2027.html","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-package-hospitality-experience.jpg","Replace","replaced","assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-03.jpg","Confirmed the file is a hotel exterior in snow (Hotel Le Balmoral, Spa) on a card selling circuit hospitality at Spa-Francorchamps. No authentic Spa hospitality-suite photograph exists in the library, so replaced with a genuine sharp Spa frame (car on the Belgian tricolour run-off kerbs). GAP: a photograph of Spa-Francorchamps' own hospitality suites on the new pit complex is still needed."
"150","belgian-grand-prix-2027.html","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-band-01.jpg","Aerial of the Van der Valk Hotel Spa (formerly Radisson Blu Palace, which the page also sells) in the Ardennes woods, not the circuit. Alt and figcaption rewritten."
"151","belgian-grand-prix-2027.html","assets/img/luxury/europe/index/europe-destination-nordics.jpg","Replace","removed-gap-recorded","","Blue geothermal pool removed from the Thermes de Spa card. NEEDS: Thermes de Spa photograph."
"152","belgian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-about-01.jpg","Replace","removed-gap-recorded","","Perast (Montenegro) removed from the Stavelot abbey card. NEEDS: Stavelot Abbey and/or the circuit museum."
"154","belgian-grand-prix-2027.html","assets/img/luxury/caribbean/grenada/grenada-about-01.jpg","Verify / replace","removed-gap-recorded","","Verified as the tropical rainforest waterfall asset held in the Grenada destination folder; it is certainly not Coo in the Ardennes. Removed. NEEDS: Coo waterfalls / Ardennes forest walk photograph."
"158","botswana.html","assets/img/luxury/africa/index/africa-band-01.jpg","Verify / replace","replaced","assets/img/destinations/botswana/botswana-01.jpg","Verified wrong: the band image is a Virunga-style volcano hillside lodge (Rwanda/Uganda), not Botswana. Replaced with the library's genuine Okavango Delta aerial; alt rewritten."
"161","boxing.html","assets/img/sports/index/sports-hero-02.jpg","Replace","replaced","assets/img/sports/library/other-sports-boxing/other-sports-boxing-01.jpg","Football World Cup crowd on the 'Fight Night' card replaced with the library's genuine Garcia v Benn ring photograph (a different frame from the page hero)."
"164","boxing.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","removed-gap-recorded","","Baseball club seats on the 'Ringside' card. The library holds only one boxing photograph, now used on the Fight Night card. Card image removed. GAP: genuine ringside / floor-seat photography at a boxing venue."
"165","boxing.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Wembley football-hospitality lounge reused on a boxing page under 'Hospitality - before the main event'. Figure removed. GAP: hospitality lounge photography at a boxing venue (T-Mobile Arena / MSG / Riyadh)."
"170","boxing.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort under 'The Grand Canyon'. No Grand Canyon photography in the library. GAP: Grand Canyon, ideally the helicopter day trip from Las Vegas."
"172","boxing.html","assets/img/hotels/the-phoenician/the-phoenician-ext-01.jpg","Replace","caption-corrected","","The photograph is correctly identified in its alt (The Phoenician, Scottsdale) and does illustrate the section's 'Arizona desert resorts' extension line; only the caption implied it was next to the Strip. Caption now reads 'Arizona - a short flight from Las Vegas for a slower few days.'"
"184","british-grand-prix-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-hotels.jpg","Replace","removed-gap-recorded","","Ashford Castle, Ireland, under 'Blenheim Palace and Woodstock'. No Blenheim imagery in the library. Image removed. NEEDED: Blenheim Palace / Woodstock, Oxfordshire."
"185","british-grand-prix-2027.html","assets/img/sports/f1/austin/austin-city-south-congress.jpg","Replace","removed-gap-recorded","","Austin South Congress shopfronts under 'Bicester Village'. No Bicester imagery in the library. Image removed. NEEDED: Bicester Village, Oxfordshire."
"186","british-grand-prix-2027.html","assets/img/sports/golf/index/golf-event-ryder-cup.jpg","Replace","removed-gap-recorded","","Golfers at an Irish manor under 'Oxford colleges afternoon'. No Oxford imagery in the library. Image removed. NEEDED: Oxford colleges / Radcliffe Camera."
"199","canadian-grand-prix-2027.html","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-package-premium-montr-al.jpg","Quality","replaced","assets/img/sports/library/f1-canada-2026/f1-canada-2026-02.jpg","Premium Montreal card. The 900x600 file is a soft long-lens pan of a packed stand. Replaced with a sharp 2000x1333 Circuit Gilles Villeneuve frame showing cars past a covered grandstand full of spectators."
"203","canadian-grand-prix-2027.html","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-band-01.jpg","Caption / replace","replaced","assets/img/sports/library/f1-canada-2026/f1-canada-2026-03.jpg","The old file is Beaver Lake on Mount Royal in autumn - not the circuit at all. Replaced with sharp 2026 Canadian Grand Prix racing photography from the library."
"204","canadian-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Grand Prix week street parties'. GAP: Crescent Street / Peel Street race-week closures, Montreal."
"205","canadian-grand-prix-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","removed-gap-recorded","","Galway pub street under 'Old Montreal and the basilica'. GAP: Old Montreal / Notre-Dame Basilica / Jean-Talon market."
"206","canadian-grand-prix-2027.html","assets/img/sports/f1/austin/austin-city-barbecue.jpg","Replace","removed-gap-recorded","","Texas barbecue under 'Montreal bagels vs. smoked meat'. GAP: St-Viateur bagels / Schwartz's smoked meat."
"212","caribbean.html","assets/img/luxury/caribbean/index/caribbean-about-01.jpg","Verify / replace","replaced","assets/img/hotels/fairmont-royal-pavilion/fairmont-royal-pavilion-ext-01.jpg","The legacy image shows a private-island bluff with a kitesurfer (reads as Necker, BVI), not the west coast of Barbados the caption describes. Replaced with Fairmont Royal Pavilion press photography, which genuinely is the Barbados west coast - flat water and beachfront hotels in a row - so the caption stands; the alt names the property."
