page,type,slot,old_or_subject,status,new_file,width,height,alt,credit,licence,source_url,image_url,note
"/formula-one/turkish-grand-prix","hotel","#fairmont-quasar-istanbul","Fairmont Quasar Istanbul","sourced","/assets/img/sourced/turkish-grand-prix/fairmont-quasar-istanbul-01.jpg","1600","1067","The Quasar Istanbul towers at dusk, with the Fairmont name on the central hotel tower, Levent","Fairmont Quasar Istanbul / Accor","press image — permission required","https://www.fairmont.com/istanbul/","https://m.ahstatic.com/is/image/accorhotels/aja_p_5805-42?fmt=jpg&wid=3000&qlt=92","Official hotel imagery from the Fairmont website (Accor Scene7 originals 8514px+). Room category of 02 not captioned on the site; it is a king guest room, not confirmed as the Deluxe King. No usable Commons exterior (only phone shots of the wider Quasar complex)."
"/formula-one/turkish-grand-prix","hotel","#fairmont-quasar-istanbul","Fairmont Quasar Istanbul","sourced","/assets/img/sourced/turkish-grand-prix/fairmont-quasar-istanbul-02.jpg","","","Guest room with a king bed and floor-to-ceiling windows over Istanbul at Fairmont Quasar Istanbul","Fairmont Quasar Istanbul / Accor","press image — permission required","https://www.fairmont.com/istanbul/","https://m.ahstatic.com/is/image/accorhotels/aja_p_5805-46?fmt=jpg&wid=3000&qlt=92","second gallery image for the same card"
"/formula-one/turkish-grand-prix","hotel","#the-peninsula-istanbul","The Peninsula Istanbul","sourced","/assets/img/sourced/turkish-grand-prix/the-peninsula-istanbul-01.jpg","1600","1065","The Peninsula Istanbul on the Karaköy waterfront, seen from the Bosphorus","Antoloji","CC0","https://commons.wikimedia.org/wiki/File:The_Peninsula_Istanbul.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/The_Peninsula_Istanbul.jpg","01 Commons (CC0). 02 is official hotel imagery (2148px source), licence: permission required."
"/formula-one/turkish-grand-prix","hotel","#the-peninsula-istanbul","The Peninsula Istanbul","sourced","/assets/img/sourced/turkish-grand-prix/the-peninsula-istanbul-02.jpg","","","Deluxe Bosphorus Room with king bed and balcony doors onto the water at The Peninsula Istanbul","The Peninsula Istanbul","press image — permission required","https://www.peninsula.com/en/istanbul/luxury-hotel-room-suite-types/deluxe-room","https://www.peninsula.com/-/media/11---istanbul-property/section-refresh/rooms/deluxe-bosphorus-room/deluxe-bosphorus-room---spotlight.png","second gallery image for the same card"
"/formula-one/turkish-grand-prix","hotel","#four-seasons-sultanahmet","Four Seasons Sultanahmet","sourced","/assets/img/sourced/turkish-grand-prix/four-seasons-sultanahmet-01.jpg","1600","1067","The ochre neoclassical façade of Four Seasons Hotel Istanbul at Sultanahmet with Hagia Sophia behind","Four Seasons Hotels and Resorts","press image — permission required","https://press.fourseasons.com/istanbul/photo-library/","https://press.fourseasons.com/content/dam/fourseasons/images/web/IST/IST_810_original.jpg","From the Four Seasons press room (press-use imagery). No bedroom image was reachable without the Four Seasons image-library login; 02 is a suite terrace. A 2008 Commons night exterior (Gryffindor, CC BY-SA 4.0) exists but is weaker."
"/formula-one/turkish-grand-prix","hotel","#four-seasons-sultanahmet","Four Seasons Sultanahmet","sourced","/assets/img/sourced/turkish-grand-prix/four-seasons-sultanahmet-02.jpg","","","A flower-lined terrace table looking onto Hagia Sophia at Four Seasons Hotel Istanbul at Sultanahmet","Four Seasons Hotels and Resorts","press image — permission required","https://press.fourseasons.com/istanbul/photo-library/","https://press.fourseasons.com/content/dam/fourseasons/images/web/IST/IST_931_original.jpg","second gallery image for the same card"
"/formula-one/turkish-grand-prix","hotel","#c-ragan-palace-kempinski","Çırağan Palace Kempinski","sourced","/assets/img/sourced/turkish-grand-prix/ciragan-palace-kempinski-01.jpg","1600","1205","Çırağan Palace on the Bosphorus shoreline, seen from the water","Sourabh.biswas003","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:PXL_20241210_122905199.MP_Istanbul_Cityscape_from_Bosphorus_Strait_Cruise_Türkiye_09_Çırağan_Palace_Kempinski_hotel.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/PXL_20241210_122905199.MP_Istanbul_Cityscape_from_Bosphorus_Strait_Cruise_T%C3%BCrkiye_09_%C3%87%C4%B1ra%C4%9Fan_Palace_Kempinski_hotel.jpg","01-02 Commons (02 has parked cars and traffic cones in the forecourt). 03 official Kempinski imagery; room category not captioned on the site, so not confirmed as the Deluxe Bosphorus Room."
"/formula-one/turkish-grand-prix","hotel","#c-ragan-palace-kempinski","Çırağan Palace Kempinski","sourced","/assets/img/sourced/turkish-grand-prix/ciragan-palace-kempinski-02.jpg","","","The white marble façade and entrance stairs of Çırağan Palace Kempinski, Istanbul","Mister No","CC BY 3.0","https://commons.wikimedia.org/wiki/File:Çırağan_Palace_Kempinski_-_panoramio.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e7/%C3%87%C4%B1ra%C4%9Fan_Palace_Kempinski_-_panoramio.jpg","second gallery image for the same card"
"/formula-one/turkish-grand-prix","hotel","#c-ragan-palace-kempinski","Çırağan Palace Kempinski","sourced","/assets/img/sourced/turkish-grand-prix/ciragan-palace-kempinski-03.jpg","","","Guest room with red-and-cream Ottoman-style headboard and a balcony over the Bosphorus at Çırağan Palace Kempinski","Kempinski Hotels","press image — permission required","https://www.kempinski.com/en/ciragan-palace/rooms-suites","https://storage.kempinski.com/ki-cms-prod/images/4/5/8/5/16405854-1-eng-GB/8da9ab5a6e99-80128181_4K.jpg","second gallery image for the same card"
"/formula-one/turkish-grand-prix","things-to-do","au-t","Hagia Sophia, Blue Mosque and Topkapı","sourced","/assets/img/sourced/turkish-grand-prix/hagia-sophia-01.jpg","1600","1068","Hagia Sophia and its four minarets in spring sunshine, Sultanahmet, Istanbul","Arild Vågen","CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:Hagia_Sophia_Mars_2013.jpg","https://upload.wikimedia.org/wikipedia/commons/2/22/Hagia_Sophia_Mars_2013.jpg","Hagia Sophia (01) and the Blue Mosque courtyard (02). No Topkapı image added; CC0/CC BY Topkapı shots exist on Commons if wanted."
