page,area,issue,change,needs_client_approval,notes
"about.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"about.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"about.html","copy/trust","Absolute single-person service promise (""One specialist who ... answers the phone"").","Aligned with the approved dedicated-specialist promise backed by the wider team.","NO","Brief s.8 item 3."
"about.html","copy/trust","Hero sub-line promised ""one point of contact"" — an absolute variant of the removed promise.","Replaced with the dedicated-specialist wording.","NO",""
"about.html","copy/trust","og:description promised ""one point of contact"".","Replaced with the dedicated-specialist wording.","NO",""
"abu-dhabi-grand-prix-2026.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"abu-dhabi-grand-prix-2026.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"abu-dhabi.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"abu-dhabi.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"africa.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
