page,area,issue,change,needs_client_approval,notes
"luxury-travel.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"sports-travel.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"maldives.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"mauritius.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"mexico.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"montenegro.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"new-england.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"new-york.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"nordics.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
"portugal.html","copy/trust","Enquiry-form privacy claim ""We never share your details (with third parties)"" is inaccurate for a travel business that must pass data to airlines, hotels and ticketing partners","Replaced with: ""We use your details to answer your enquiry and arrange your travel, sharing them only with the suppliers needed to deliver it. We never sell your data.""","yes","Final wording needs client/legal sign-off. No privacy-policy page exists on the site, so no link could be added - logged as a content dependency."
