page,role,order,title,dest,width,height,orig,source_page,image_url,credit,capture_date,rights,approval,quality_note,note
"about.html","Hero","1","Aston Martin — Monaco","assets/img/heroes/about/about-hero-01.jpg","2400","1371","2800x1600","https://www.astonmartinf1.com/en-GB/races/2026-monaco-gp","https://assets.astonmartinf1.com/public/cms/5YgPp0ICzbIkzjMo4uNmU9/d66cf24583ff30fe157b7877dcc7d543/2280335564_28x16.jpg","Guido De Bortoli / LAT Images / © 2026 Getty Images","2026:06:07 16:01:13","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Proposed","Native large source; no upscaling.",""
"abu-dhabi-grand-prix-2026.html","Hero","1","Yas Marina — main straight at sunset","assets/img/heroes/abu-dhabi-grand-prix-2026/abu-dhabi-grand-prix-2026-hero-01.jpg","2400","1627","3187x2160","https://www.f1-fansite.com/wp-content/uploads/2025/12/30-sunday-yasmarina-2025-Aangepast.jpg","https://www.f1-fansite.com/wp-content/uploads/2025/12/30-sunday-yasmarina-2025-Aangepast.jpg","Clive Rose / Getty Images","2025-12-07","Getty Images copyright. Publicly downloadable attributed photograph; commercial website licence not acquired or purchase made.","Proposed","Native large source; no upscaling.",""
"abu-dhabi.html","Hero","1","Rixos Premium Saadiyat Island and its palm-lined reflective swimming pool, Abu Dhabi.","assets/img/heroes/abu-dhabi/abu-dhabi-hero-01.jpg","2400","1601","7926x5287","https://allinclusive-collection.com/en/hotel/rixos-premium-saadiyat-island/","https://downloads.ctfassets.net/944fk97h13dc/33kY7chl8uBn9OegUjsVuS/33a67c3b83687788972e978d11620be5/_BAB8968-HDR.jpg","senolbobo / lensfilms / Rixos","Source EXIF DateTime 16 December2022,21:30:53; exact original exposure date not independently confirmed.","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"africa.html","Hero","1","Royal Malewane, Malewane Lodge — Royal Suite private pool at sunset","assets/img/heroes/africa/africa-hero-01.jpg","2400","1605","8022x5366","https://www.theroyalportfolio.com/royal-malewane/gallery/","https://wp.theroyalportfolio.com/app/uploads/2026/07/Malewane-Lodge-at-Royal-Malewane_Royal-Suite-Pool-1.webp","Official gallery provides explicit full-image download links; commercial licence still requires confirmation.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"antigua.html","Hero","1","Jumby Bay Island","assets/img/heroes/antigua/antigua-hero-01.jpg","2400","1348","5272x2962","https://www.oetkerhotels.com/hotels/jumby-bay-island/gallery/","https://images.eu.ctfassets.net/og3b0tarlg4b/6Nc2iQzhyI5ug45vzKl6hK/87415b876b53eb9fcccaff0abc2b0dd4/Pool___beach_2.jpg","Official current Oetker property gallery, native public Contentful asset without image resizing. Capture date unconfirmed.","2022-10-31","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"arizona.html","Hero","1","The Phoenician resort at dusk — December 2024 aerial photograph","assets/img/heroes/arizona/arizona-hero-01.jpg","2400","1797","5253x3934","https://www.thephoenician.com/photo-gallery/","https://cdn.marriottnetwork.com/uploads/sites/23/2025/01/DJI_20241215194420_0601_D-HDR.jpg","Official source; individual photographer to confirm","2024-12-15","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"asia.html","Hero","1","Four Seasons Koh Samui","assets/img/heroes/asia/asia-hero-01.jpg","2400","1542","3000x1927","https://www.fourseasons.com/kohsamui/photos-and-videos/","https://www.fourseasons.com/content/dam/fourseasons/images/web/KOH/KOH_760_original.jpg","Official current Four Seasons gallery. Public original media asset linked from gallery image; no resizing or enlargement. Exact capture date unconfirmed.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"austin.html","Hero","1","COTA observation tower, Texas flag and Formula 1 action during 2025 practice","assets/img/heroes/austin/austin-hero-01.jpg","2400","1600","3840x2560","https://www.formula1.com/en/latest/article/live-coverage-first-practice-in-the-united-states-2025.3bO0gYS9zMZg67f88YnY1r","https://media.formula1.com/image/upload/trackside-images/2025/F1_Grand_Prix_of_United_States___Practice__Sprint_Qualifying/2241663356.jpg","Clive Rose / Getty Images","2025-10-17","© Getty Images; editorial photograph displayed by Formula 1. No commercial website licence acquired.","Proposed","Native large source; no upscaling.",""
"australian-grand-prix-2027.html","Hero","1","Albert Park — circuit and Melbourne skyline","assets/img/heroes/australian-grand-prix-2027/australian-grand-prix-2027-hero-01.jpg","2400","1600","3240x2160","https://www.f1-fansite.com/f1-wallpaper/wallpaper-photos-2026-australian-formula-1-grand-prix/","https://www.f1-fansite.com/wp-content/uploads/2026/03/SI202603080197-Aangepast.jpg","Getty Images / Red Bull Content Pool","2026-03-08","Photographer / team / agency rights apply. Commercial website permission must be confirmed; no licence acquired.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"australian-open-2027.html","Hero","1","Rod Laver Arena at night with Melbourne skyline","assets/img/heroes/australian-open-2027/australian-open-2027-hero-01.jpg","2400","1600","5000x3333","https://www.abc.net.au/news/2026-01-14/australian-open-2026-everything-you-need-to-know/106225280","https://live-production.wcms.abc-cdn.net.au/358754335726b58ca6de94b355578d27?impolicy=wcms_crop_resize&cropH=3333&cropW=5000&xPos=0&yPos=0&width=5000&height=3333","Getty Images via ABC; source January 2026; exact capture date to verify","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"austrian-grand-prix-2027.html","Hero","1","Alpine panorama over the Red Bull Ring during the 2026 Austrian Grand Prix","assets/img/heroes/austrian-grand-prix-2027/austrian-grand-prix-2027-hero-01.jpg","2400","1600","3200x2133","https://www.redbullring.com/en/gallery/austriangp-2026-saturday/","https://www.redbullring.com/en/wp-content/uploads/sites/1/2026/06/LP_260627_F1RBR_0105.jpg","Lucas Pripfl / Red Bull Ring","2026-06-27","Copyrighted official circuit photography. Red Bull Ring media service permits royalty-free editorial use under Red Bull Content Pool terms; this downloaded gallery asset has no commercial licence acquired. Commercial website permission remains unconfirmed.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"azerbaijan-grand-prix-2026.html","Hero","1","Baku — waterfront city circuit","assets/img/heroes/azerbaijan-grand-prix-2026/azerbaijan-grand-prix-2026-hero-01.jpg","2400","1600","3240x2160","https://www.f1-fansite.com/f1-wallpaper/wallpaper-photos-2025-azerbaijan-formula-1-grand-prix/","https://www.f1-fansite.com/wp-content/uploads/2025/10/SI202509210334-Aangepast.jpg","Official source; individual photographer to confirm","2025","Photographer / team / agency rights apply. Commercial website permission must be confirmed; no licence acquired.","Proposed","Native large source; no upscaling.",""
"bahrain-grand-prix-2027.html","Hero","1","Bahrain — Sakhir tower at sunset","assets/img/heroes/bahrain-grand-prix-2027/bahrain-grand-prix-2027-hero-01.jpg","2400","1371","2800x1600","https://www.astonmartinf1.com/en-GB/news/on-track/the-debrief-by-aramco-2025-bahrain-grand-prix","https://assets.astonmartinf1.com/public/cms/7Essg30fgcj1Fs7V6lYxfL/71efdc1b96a96ca6cdc6d742d524dab3/Bahrain_preview_homepage_hero.jpg","Aston Martin F1 Team; individual photographer to confirm","Capture date unconfirmed; official Aston Martin 2025 Bahrain GP article","Commercial website permission required; not acquired.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"bali.html","Hero","1","Bulgari Resort Bali — clifftop pool at sunset","assets/img/heroes/bali/bali-hero-01.jpg","2400","1864","3610x2804","https://www.cntraveler.com/hotels/indonesia/ulluwatu/bulgari-resort","https://media.cntraveler.com/photos/67586ad3313d89c89e392d8b/master/Bvlgari%20Resort%20Bali_HERO%20The-Pool-Aerial-Shot-Sunset.jpg","Hotel-attributed image supplied through current Conde Nast Traveler gallery. Capture date and present room configuration require visual confirmation before selection.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"barbados.html","Hero","1","Fairmont Royal Pavilion","assets/img/heroes/barbados/barbados-hero-01.jpg","2400","1329","3949x2187","https://www.fairmont.com/en/hotels/barbados/fairmont-royal-pavilion.html","https://m.ahstatic.com/is/image/accorhotels/HCM_P_3846496?wid=5000&hei=5000&fit=constrain,0&qlt=95","Current official property page; Scene7 no-upscale fit. Exact capture date unconfirmed. Match exact property during visual review.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"botswana.html","Hero","1","Zarafa Camp main deck and fire pit at dusk","assets/img/heroes/botswana/botswana-hero-01.jpg","1920","1280","1920x1280","https://greatplainsconservation.com/zarafa-camp/","https://greatplainsconservation.com/wp-content/uploads/2023/09/GreatPlains-ZarafaCamp-006.jpg","Photographs from the current official property page; original public asset URLs, capture date unconfirmed unless named in file.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"boxing.html","Hero","1","Ryan Garcia punches Conor Benn in the WBC Welterweight Championship bout during the Zuffa Boxing event at T-Mobile Arena on Septem","assets/img/heroes/boxing/boxing-hero-01.jpg","1920","1280","1920x1280","https://www.ufc.com/","https://ufc.com/images/2026-09/GettyImages-2294975578.jpg","UFC official current event photography","2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"british-grand-prix-2027.html","Hero","1","Silverstone — The Wing and main straight","assets/img/heroes/british-grand-prix-2027/british-grand-prix-2027-hero-01.jpg","2400","1600","7134x4755","https://www.f1-fansite.com/wp-content/uploads/2026/07/1-sunday-silverstone-2026.jpg","https://www.f1-fansite.com/wp-content/uploads/2026/07/1-sunday-silverstone-2026.jpg","Sam Bagnall / Sutton Images / © 2026 Getty Images","2026:07:05 15:03:47","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"british-virgin-islands.html","Hero","1","Oil Nut Bay — coastal villa and bay view; exact villa identity unconfirmed","assets/img/heroes/british-virgin-islands/british-virgin-islands-hero-01.jpg","2400","1350","7111x4000","https://www.oilnutbay.com/stay/gallery/","https://www.oilnutbay.com/wp-content/uploads/2024/01/Gallery_00_Hero-1.jpg","Official source; individual photographer to confirm","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"california.html","Hero","1","Post Ranch Inn — Pacific coast at sunset","assets/img/heroes/california/california-hero-01.jpg","1920","1280","1920x1280","https://postranchinn.com/Gallery/","https://postranchinn.com/wp-content/uploads/2023/09/Stay-Ocean-House-Coastline_82A9863.jpg","Official property gallery; Kodiak Greenwood photographer on some original filenames; exact capture date unconfirmed.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"canadian-grand-prix-2027.html","Hero","1","Montreal — island circuit and city skyline","assets/img/heroes/canadian-grand-prix-2027/canadian-grand-prix-2027-hero-01.jpg","2400","1600","3840x2560","https://www.formula1.com/en/latest/article/circuit-guide-everything-you-need-to-know-about-the-circuit-gilles-villeneuve.5RUqO9YE80jmCiuODWNX9g","https://media.formula1.com/image/upload/fom-website/2026/Miscellaneous/GettyImages-2220019856.jpg","Getty Images, via Formula 1; individual photographer not identified in accessible source","2025-06-13","Copyright; no commercial reuse licence granted or confirmed by download. No purchase or outreach performed.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"caribbean.html","Hero","1","Jade Mountain — sunset over the Pitons","assets/img/heroes/caribbean/caribbean-hero-01.jpg","2400","1800","5266x3949","https://jademountain.com/press/","https://www.dropbox.com/scl/fo/d9px9tpsabibsjls5j3g8/h?rlkey=j2t7dg0eoh5njzs2orz15zv3m&dl=1#4%20Aerial%20-%20Overall%20Property/jade-aerials-20.jpg","Original JPEG extracted unchanged from the publicly linked official Jade Mountain image library. Filename preserves sanctuary category and capture date where given; photographer credit to confirm.","2023-09-20","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"chinese-grand-prix-2027.html","Hero","1","Shanghai — signature grandstand and main straight","assets/img/heroes/chinese-grand-prix-2027/chinese-grand-prix-2027-hero-01.jpg","2400","1600","3240x2160","https://www.f1-fansite.com/f1-wallpaper/wallpaper-photos-2026-chinese-formula-1-grand-prix/","https://www.f1-fansite.com/wp-content/uploads/2026/04/SI202603150332-Aangepast.jpg","Getty Images / Red Bull Content Pool","2026-03-15","Photographer / team / agency rights apply. Commercial website permission must be confirmed; no licence acquired.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"cricket.html","Hero","1","Newlands Cricket Ground","assets/img/heroes/cricket/cricket-hero-01.jpg","2400","1600","6000x4000","https://commons.wikimedia.org/wiki/File:Newlands_Cricket_Ground.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5e/Newlands_Cricket_Ground.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","EGilham","2026-03-11 18:30:05","CC BY-SA 4.0","Proposed","Native large source; no upscaling.",""
"croatia.html","Hero","1","Villa Dubrovnik above the Adriatic","assets/img/heroes/croatia/croatia-hero-01.jpg","1920","1440","1920x1440","https://www.villa-dubrovnik.hr/galerija/","https://www.villa-dubrovnik.hr/wp-content/uploads/2024/09/VillaDubrovnik7-HD-.jpg","Current official gallery; inspect updated interiors following 2023–2025 refurbishment.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"darts.html","Hero","1","2026-03-26 Premier League Darts – Night 8 – Berlin 2026 by Sandro Halank–144","assets/img/heroes/darts/darts-hero-01.jpg","2400","1554","5256x3404","https://commons.wikimedia.org/wiki/File:2026-03-26_Premier_League_Darts_%E2%80%93_Night_8_%E2%80%93_Berlin_2026_by_Sandro_Halank%E2%80%93144.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3c/2026-03-26_Premier_League_Darts_%E2%80%93_Night_8_%E2%80%93_Berlin_2026_by_Sandro_Halank%E2%80%93144.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Sandro Halank, Wikimedia Commons","2026-03-26","CC BY-SA 4.0; follow attribution and share-alike terms where applicable. Check any venue, trademark or personality rights for marketing use.","Proposed","Native large source; no upscaling.",""
"dubai.html","Hero","1","Atlantis The Royal — Cloud 22 at sunset","assets/img/heroes/dubai/dubai-hero-01.jpg","2400","1600","2880x1920","https://www.atlantis.com/dubai/atlantis-the-royal/dining/cloud-22","https://dam.kerzner.com/i/kerzner/Cloud%2022%20-%20Sunset%20Experience%20H","Official source; individual photographer to confirm","Capture date unconfirmed; current official source reviewed 17 September 2026","Commercial website permission required; not acquired.","Proposed","Native large source; no upscaling.",""
"dubai.html","Supporting image","2","Atlantis The Royal — architectural exterior","assets/img/heroes/dubai/dubai-support-02.jpg","2400","1598","8192x5456","https://www.kerznercommunications.com/atlantis-the-royal-rises-to-no-4-on-the-50-best-hotels-list/?from=atlantis-the-royal&lang=eng","","Official source; individual photographer to confirm","2025-04-30","Official press library; commercial website permission not acquired.","Proposed","Native large source; no upscaling.",""
"dutch-grand-prix-2026.html","Hero","1","Zandvoort circuit, dunes and North Sea from above","assets/img/heroes/dutch-grand-prix-2026/dutch-grand-prix-2026-hero-01.jpg","2400","1656","4096x2827","https://www.circuitzandvoort.nl/en/","https://circuit-zandvoort.b-cdn.net/production/Dummy/onthecircuit-hero.jpeg","MASCOT Circuit Zandvoort; individual photographer not disclosed in this asset or page","Capture date unconfirmed; current official circuit homepage; asset uploaded May 2022","Copyrighted official circuit photography. No open licence stated; commercial website permission not acquired.","Proposed","Native large source; no upscaling.",""
"euro-2028.html","Hero","1","Wembley Stadium — pitch and red seating bowl","assets/img/heroes/euro-2028/euro-2028-hero-01.jpg","2048","1152","2048x1152","https://www.uefa.com/euro2028/news/029f-1f2ffa63f511-1e265da34302-1000--euro-2028-host-cities-and-stadiums-venue-guide/","https://editorial.uefa.com/resources/029f-1f2fc3303434-bf7b6f432b99-1000/england_v_germany_final_-_uefa_women_s_euro_2022.jpeg","UEFA EURO 2028 official venue guide, published November 2025. Individual image capture dates vary; current venue review required.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.","Future event page uses recent reference photography; image capture date is recorded separately."
"europe.html","Hero","1","Caruso, Ravello — pool and Amalfi hills","assets/img/heroes/europe/europe-hero-01.jpg","2400","1800","11648x8736","https://www.belmond.com/en/hotels/europe/italy/caruso-amalfi-coast/modal/gallery","https://img.belmond.com/photos/car/car-gst-pool-la-piscina01.jpg","SALVA LOPEZ","2025-04-05","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"european-football-breaks.html","Hero","1","Santiago Bernabéu — renovated roof and scoreboard","assets/img/heroes/european-football-breaks/european-football-breaks-hero-01.jpg","1920","1080","1920x1080","https://www.realmadrid.com/en-US/bernabeu-stadium","https://assets.realmadrid.com/is/image/realmadrid/ND-LIGA-J10-RM-BARCELONA-VIDEOMARCADOR-VIDEONOTICIA_1VC8546?wid=3000&fit=constrain&qlt=95","Official source; individual photographer to confirm","2024","Commercial permission required from the club; no licence acquired","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"finland.html","Hero","1","Finland — aurora over Jerisjärvi","assets/img/heroes/finland/finland-hero-01.jpg","2400","1600","6254x4169","https://unsplash.com/photos/the-aurora-bore-in-the-night-sky-over-a-snow-covered-field-RiPxavpvk70","https://images.unsplash.com/photo-1681384389381-3758b4f9b9d7","Photograph by Stephan Deinhamer; Unsplash free-photo source (not Unsplash+). Capture date unconfirmed.","Capture date unconfirmed; current official source reviewed 17 September 2026","Unsplash License: commercial use permitted under its terms; assess depicted third-party rights separately.","Proposed","Native large source; no upscaling.",""
"florida.html","Hero","1","The Setai — palm-lined pools at sunset","assets/img/heroes/florida/florida-hero-01.jpg","2400","1600","3000x2000","https://www.cntraveler.com/hotels/united-states/miami-beach/the-setai-miami-beach","https://media.cntraveler.com/photos/69fdef63afb63d3726903b53/master/The-Setai-Miami-beach-Florida-USA-May26-Press-Global-002.jpg","Hotel-issued May 2026 press gallery; exact capture date unconfirmed.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"formula-one.html","Hero","1","Formula 1 — sharp Aston Martin action at Monza","assets/img/heroes/formula-one/formula-one-hero-01.jpg","2400","1600","4966x3311","https://www.grandprix.com/photos/9faa75f9-4d6e-48ba-b385-4b293b367588/fernando-alonso","https://grandprix-photo-library.nyc3.cdn.digitaloceanspaces.com/photos/races/pita26/sat/amr/00-master/alonso1.jpg","Simon Galloway / LAT Images / © 2026 Getty Images","2026:09:05 12:45:33","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Proposed","Native large source; no upscaling.",""
"france.html","Hero","1","Hotel du Cap-Eden-Roc — sunset by the sea","assets/img/heroes/france/france-hero-01.jpg","2400","1552","4134x2673","https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/gallery/","https://images.eu.ctfassets.net/og3b0tarlg4b/RpnTL5aHhbDjrNWDozTDp/0459367e18222a45264e8c80f68a35b8/2023_09_EDEN_ROC_-_PISCINE_COUCHER_DE_SOLEIL_1_SANS_NUAGES_NOIR.jpg","Official current Oetker property gallery, native public Contentful asset without image resizing. Capture date unconfirmed.","2023-09-16","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"golf.html","Hero","1","The Masters — Augusta at golden hour","assets/img/heroes/golf/golf-hero-01.jpg","2400","1350","5385x3029","https://www.pgatour.com/article/news/latest/2026/04/02/the-masters-2026-augusta-national-hole-by-hole-look-golf-course","https://res.cloudinary.com/pgatour-prod/pgatour/news/editorial/2026/04/02/augusta-hole-by-hole/augusta_16.jpg","Kevin C. Cox / Getty Images","Exact capture date not supplied. Used in the PGA TOUR Augusta course guide published 2 April 2026; publication date is not claimed as the shoot date.","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Proposed","Native large source; no upscaling.",""
"greece.html","Hero","1","Mystique Santorini — Mystery Villa pool terrace overlooking the caldera","assets/img/heroes/greece/greece-hero-01.jpg","2400","1600","9490x6327","https://mystique.gr/","https://mystique.gr/wp-content/uploads/2017/03/Mystique_24_Suite_39-0679.jpg","Mystique / Empiria Group; individual photographer not supplied","Not supplied; embedded modification date 3 July 2024 is processing, not capture","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"grenada.html","Hero","1","Silversands Grand Anse — the 100-metre pool in golden evening light","assets/img/heroes/grenada/grenada-hero-01.jpg","2400","1292","10837x5834","https://buildwithcreativedesign.gd/gallery/","https://buildwithcreativedesign.gd/wp-content/uploads/2024/09/Pool-looking-towards-building-with-cabanas-and-Hotel-Buildings.jpg","Magda Biernat Photography / AW2 / Creative Design & Build","12 November 2018 at 17:56:06, recorded in Canon EOS 5DS R EXIF. December 2018 edit timestamp and 2024 upload date are separate.","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"horse-racing.html","Hero","1","Royal Ascot — official event photography","assets/img/heroes/horse-racing/horse-racing-hero-01.jpg","1920","1080","1920x1080","https://www.ascot.com/horse-races-and-events/royal-ascot/overview","https://media-cdn.incrowdsports.com/e8e66f99-88d2-493a-ad77-778cc9328b64.jpg","Official Ascot website; capture dates not confirmed","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"hungarian-grand-prix-2027.html","Hero","1","Hungaroring — sweeping circuit and race-day crowd","assets/img/heroes/hungarian-grand-prix-2027/hungarian-grand-prix-2027-hero-01.jpg","2400","1600","5540x3694","https://www.f1-fansite.com/f1-calendar/hungarian-grand-prix/","https://www.f1-fansite.com/wp-content/uploads/2026/07/13-sunday-budapest-2026.jpg","Peter Fox · Getty Images · 2026 Getty Images","2026-07-26","Photographer / team / agency rights apply. Commercial website permission must be confirmed; no licence acquired.","Proposed","Native large source; no upscaling.","Future event page uses recent reference photography; image capture date is recorded separately."
"index.html","Carousel slide","1","Aston Martin — Monaco","assets/img/heroes/index/index-slide-01.jpg","2400","1371","2800x1600","https://www.astonmartinf1.com/en-GB/races/2026-monaco-gp","https://assets.astonmartinf1.com/public/cms/5YgPp0ICzbIkzjMo4uNmU9/d66cf24583ff30fe157b7877dcc7d543/2280335564_28x16.jpg","Guido De Bortoli / LAT Images / © 2026 Getty Images","2026:06:07 16:01:13","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Approved by Alex","Native large source; no upscaling.",""
"index.html","Carousel slide","2","The Masters — Augusta at golden hour","assets/img/heroes/index/index-slide-02.jpg","2400","1350","5385x3029","https://www.pgatour.com/article/news/latest/2026/04/02/the-masters-2026-augusta-national-hole-by-hole-look-golf-course","https://res.cloudinary.com/pgatour-prod/pgatour/news/editorial/2026/04/02/augusta-hole-by-hole/augusta_16.jpg","Kevin C. Cox / Getty Images","Exact capture date not supplied. Used in the PGA TOUR Augusta course guide published 2 April 2026; publication date is not claimed as the shoot date.","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Approved by Alex","Native large source; no upscaling.",""
"index.html","Carousel slide","3","Existing approved football crowd","assets/img/heroes/index/index-slide-03.jpg","1600","1089","1600x1089","https://vedere-site.vercel.app/index.html","https://vedere-site.vercel.app/assets/img/sports/index/sports-hero-02.jpg","Original photographer unconfirmed","Capture date unconfirmed","Rights-holder permission required for commercial website use; no licence acquired.","Approved by Alex","Approved existing image is 1600 × 1089. Larger original still required for a high-resolution full-width header. Do not upscale. Messi identity and provenance not verified.",""
"index.html","Carousel slide","4","Wimbledon — Centre Court atmosphere","assets/img/heroes/index/index-slide-04.jpg","2400","1573","2625x1720","https://www.wimbledon.com/en_GB/gallery/sinner_over_zverev","https://content.wimbledon.com/is/image/AELTC/ZZ202649-529737?wid=3000&fit=constrain&qlt=95","AELTC — individual photographer to confirm from original gallery","2026 Wimbledon men’s final, 12 July 2026, as identified by the AELTC gallery; no camera EXIF timestamp supplied.","Commercial website permission or licence required; not acquired. Inclusion in this review shortlist is not publication clearance.","Approved by Alex","Native large source; no upscaling.",""
"index.html","Carousel slide","5","WM Phoenix Open 2026 — Sunday crowds around the 18th green","assets/img/heroes/index/index-slide-05.jpg","2048","1366","2048x1366","https://wmphoenixopen.com/gallery/","https://wmphoenixopen.com/wp-content/uploads/2026/04/2026_Gallery_18-on-Sunday-1.jpg","Official venue/event gallery","2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed Phoenix addition","Native Full HD-range source. Suitable up to about 1920 CSS pixels; not a 4K original.",""
"indian-ocean.html","Hero","1","Cheval Blanc Randheli — Maldives at sunset","assets/img/heroes/indian-ocean/indian-ocean-hero-01.jpg","2400","1800","8064x6048","https://www.chevalblanc.com/en/maison/randheli/rooms-and-suites/","https://images.prismic.io/lvmh-chevalblanc/Z88InRsAHJWomSkz_WebRGB-ChevalBlancRandheli-LagoonVilla-OliverFly-2024.jpg","Official Cheval Blanc; photography and date credited in source filename. Native image, all resize/crop/compression parameters removed.","Capture date unconfirmed; current official source reviewed 17 September 2026","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
"italian-grand-prix-2026.html","Hero","1","Monza — Parabolica and the Tifosi","assets/img/heroes/italian-grand-prix-2026/italian-grand-prix-2026-hero-01.jpg","2400","1600","3840x2560","https://www.formula1.com/en/latest/article/circuit-guide-everything-you-need-to-know-about-the-autodromo-nazionale-monza.51PKqBRlxNs0fzLWQzsnd0","https://media.formula1.com/image/upload/v1740000001/fom-website/2026/Miscellaneous/GettyImages-2234130825.jpg","Getty Images via Formula 1; individual photographer unconfirmed","2025-09-07","Getty Images copyright; commercial website permission not acquired.","Proposed","Native large source; no upscaling.",""
"italy.html","Hero","1","Caruso, Ravello — pool and Amalfi hills","assets/img/heroes/italy/italy-hero-01.jpg","2400","1800","11648x8736","https://www.belmond.com/en/hotels/europe/italy/caruso-amalfi-coast/modal/gallery","https://img.belmond.com/photos/car/car-gst-pool-la-piscina01.jpg","SALVA LOPEZ","2025-04-05","Rights-holder permission required for commercial website use; no licence acquired.","Proposed","Native large source; no upscaling.",""
