page,card,issue,action,new_images,needs_sourcing,notes
premier-league-wembley-hospitality.html,London,"External stock slide (Unsplash ""grand palace-style hotel facade in London"") as the hero on a city card","Removed the stock slide; gallery rebuilt with the page's existing local photograph only (1 / 1) and width/height corrected to the real file","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-city-hotel.jpg","Genuine London exterior and bedroom photography for the quoted property","Remaining slide is an unattributed luxury salon interior already in the repo; it is a lounge, not a bedroom, and the client should confirm the property and city before it stays. Declared size was 1600x900 but the file is 1000x667 - corrected."
premier-league-wembley-hospitality.html,Manchester,"Both slides external stock (Unsplash facade + minimalist bedroom)","Removed the whole .ht-imgs gallery and its now-orphaned .htg-cap; card renders as a text card",,"Manchester destination photography, or exterior + bedroom photography of the quoted Manchester property","No Manchester photography of any kind in assets/img. Written content left untouched."
premier-league-wembley-hospitality.html,Liverpool,"Both slides external stock (Unsplash facade + lounge)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Liverpool destination photography, or exterior + bedroom photography of the quoted Liverpool property","Repo holds only Anfield stadium photography (assets/img/sports/library/football-liverpool) - a stadium is not accommodation photography, so it was not used."
the-ashes-2027.html,London - Marylebone and Mayfair,"Both slides external stock (Unsplash facade + lobby)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"London destination photography, or exterior + bedroom photography of the quoted W1 property","No London destination photography in assets/img/destinations."
the-ashes-2027.html,London - the South Bank,"Both slides external stock (Unsplash riverside facade + suite)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"London / South Bank destination photography, or exterior + bedroom photography of the quoted SE1 property","Same gap as the Marylebone card."
the-ashes-2027.html,Nottingham and Birmingham,"Both slides external stock (Unsplash hotel entrance + restaurant)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Nottingham and Birmingham destination photography, or property photography for both cities","No Nottingham or Birmingham imagery in the repo (the only Birmingham file is a Villa Park stadium shot in the Euro 2028 venue library)."
rugby-world-cup-2027.html,Sydney,"Both slides external stock (Unsplash glass tower + bedroom window)","Replaced with genuine Sydney destination photography; gallery now 1 / 1","assets/img/destinations/sydney/sydney-01.jpg",,"City card, so destination photography is an exact match. The repo holds a single Sydney photograph, already used lower on the same page; a second Sydney image would be welcome but is not a misleading gap."
rugby-world-cup-2027.html,Melbourne,"Both slides external stock (Unsplash facade + minimalist bedroom)","Replaced with genuine Melbourne destination photography; gallery now 1 / 1","assets/img/destinations/melbourne/melbourne-01.jpg",,"City card. The Degraves Street Melbourne photograph is already used elsewhere on this page, so it was not duplicated into the gallery."
rugby-world-cup-2027.html,Brisbane,"Both slides external stock (Unsplash white facade + rooftop pool)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Brisbane destination photography, or exterior + bedroom photography of the quoted riverside property","No Brisbane imagery in the repo."
euro-2028.html,London,"Both slides external stock (Unsplash facade + suite)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"London destination photography, or exterior + bedroom photography of the quoted property","No London destination photography in the repo."
euro-2028.html,Cardiff,"Both slides external stock (Unsplash facade + bedroom)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Cardiff destination photography, or exterior + bedroom photography of the quoted property","The only Cardiff files are Principality Stadium interiors in the Euro 2028 venue library - stadium, not accommodation, so not used."
euro-2028.html,Dublin,"Both slides external stock (Unsplash facade + lobby)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Dublin destination photography, or exterior + bedroom photography of the quoted Ballsbridge property","assets/img/destinations/ireland holds only the Cliffs of Moher (County Clare) and Galway - neither is Dublin, so neither was used."
six-nations.html,Dublin,"Both slides external stock (Unsplash facade + bedroom)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"Dublin destination photography, or exterior + bedroom photography of the quoted property","Same Dublin gap as Euro 2028."
six-nations.html,London,"Both slides external stock (Unsplash facade + lobby)","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card",,"London destination photography, or exterior + bedroom photography of the quoted Mayfair property","No London destination photography in the repo."
six-nations.html,Paris,"Both slides external stock (Unsplash palace facade + restaurant)","Replaced with two genuine Paris destination photographs; gallery now 1 / 2","assets/img/destinations/paris/paris-01.jpg; assets/img/destinations/paris/paris-02.jpg",,"City card, so destination photography is an exact match. Neither image was already in use on this page."
european-football-breaks.html,"Mandarin Oriental, Barcelona","Named property with two external stock slides (Unsplash facade + generic suite) - misattributed to the hotel","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card with its written content intact",,"Mandarin Oriental Barcelona exterior/hero and a bedroom of the quoted Deluxe Room","The repo holds no Mandarin Oriental Barcelona photography. Hotel Arts Barcelona images exist but are a different property and were deliberately not substituted. No prices, rooms or facilities changed."
european-football-breaks.html,"Rosewood Villa Magna, Madrid","Named property with two external stock slides (Unsplash facade + generic lounge) - misattributed to the hotel","Removed the whole .ht-imgs gallery and its .htg-cap; card renders as a text card with its written content intact",,"Rosewood Villa Magna exterior/hero and a bedroom of the quoted Superior Room","The repo holds no Rosewood Villa Magna photography. Mandarin Oriental Madrid, Four Seasons Madrid and The Madrid EDITION exist but are different properties and were deliberately not substituted."
