page,location,before,after,reason
"formula-one/australian-grand-prix","things-to-do card","heading: Laneway coffee crawl and Flinders Lane dining"," | added description: Melbourne’s coffee culture lives in its laneways — Degraves Street, Centre Place and Hardware Lane. In the evening, Flinders Lane has some of the city’s best restaurants within a few minutes’ walk.","card had no description"
"formula-one/australian-grand-prix","things-to-do card","heading: Yarra Valley wineries afternoon"," | added description: About an hour’s drive north-east of the city, the Yarra Valley is known for cool-climate Chardonnay and Pinot Noir. We arrange a driver, cellar-door tastings and lunch at a winery restaurant.","card had no description"
"formula-one/austrian-grand-prix","things-to-do card","heading: Zotter chocolate factory experience"," | added description: Zotter’s organic chocolate factory at Riegersburg, in eastern Styria, runs a tasting tour through its production lines, with an “edible zoo” farm beside it. An easy day out, and a good one for families.","card had no description"
"formula-one/azerbaijan-grand-prix","things-to-do card","heading: Flame Towers at night and the Caspian boulevard"," | added description: After dark the Flame Towers’ facades light up above the city. Walk the seafront Boulevard along the Caspian for the best view of them.","card had no description"
"formula-one/azerbaijan-grand-prix","things-to-do card","heading: Icheri Sheher (UNESCO old city)","heading: Icheri Sheher, Baku’s old city","note-style heading"
"formula-one/bahrain-grand-prix","things-to-do card","heading: Bahrain Fort at sunset and the National Museum"," | added description: Qal’at al-Bahrain, a UNESCO World Heritage Site, is at its best in the late-afternoon light. Pair it with the Bahrain National Museum in Manama, which tells the story of the island from the Dilmun era onwards.","card had no description"
"formula-one/bahrain-grand-prix","things-to-do card","heading: Manama Souq and the Pearling Path (UNESCO)","heading: Manama Souq and the Pearling Path | added description: Bab Al Bahrain leads into the old Manama souq for spices, gold and textiles. Across in Muharraq, the Pearling Path, a UNESCO World Heritage Site, links the merchants’ houses of the island’s pearling era.","note-style heading; card had no description"
"formula-one/bahrain-grand-prix","things-to-do card","heading: Royal Camel Farm and the Tree of Life"," | added description: Two short stops in the desert: the Royal Camel Farm, where visitors can see the herd up close, and the Tree of Life, a centuries-old mesquite growing alone in the sand with no obvious source of water.","card had no description"
"formula-one/bahrain-grand-prix","things-to-do card","heading: Bahrain Bay dining scene"," | added description: The waterfront around Bahrain Bay and the Adliya district hold many of Manama’s best restaurants. We book tables for the evenings the circuit isn’t calling.","card had no description"
"formula-one/belgian-grand-prix","things-to-do card","heading: Stavelot abbey and the circuit museum"," | added description: The old abbey at Stavelot, a short drive from the circuit, houses the Spa-Francorchamps museum alongside collections on the history of the region.","card had no description"
"formula-one/belgian-grand-prix","things-to-do card","heading: Ardennes forest walks; Coo waterfalls","heading: Ardennes forest walks and the Coo waterfall | added description: Waymarked trails run through the forests around the circuit. The waterfall at Coo, on the Amblève near Stavelot, is one of Belgium’s best-known beauty spots.","note-style heading; card had no description"
"formula-one/british-grand-prix","things-to-do card","heading: Silverstone Interactive Museum and the infield fan zones","heading: Silverstone Museum and the fan zones | added description: The Silverstone Museum, beside the circuit, tells the story of British motor racing through interactive exhibits. On race weekend the fan zones add music, simulators and driver appearances.","note-style heading; card had no description"
"formula-one/british-grand-prix","things-to-do card","heading: Blenheim Palace and Woodstock"," | added description: Blenheim Palace, a UNESCO World Heritage Site and the birthplace of Winston Churchill, is under an hour from Silverstone. Lunch afterwards in the small Cotswold town of Woodstock at its gates.","card had no description"
