reference,page,image,action,resolution,new_image,notes
"124","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-grandstand-experience.jpg","Replace","already-resolved","","Package cards on the deployed page no longer carry images; the Baku-looking file is unreferenced."
"125","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-premium-bahrain.jpg","Replace","already-resolved","","Package cards on the deployed page no longer carry images; the Yas Marina file is unreferenced."
"129","bahrain-grand-prix-2027.html","assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-band-01.jpg","Caption / replace","replaced","assets/img/sports/library/f1-bahrain-2025-sakhir-reference/f1-bahrain-2025-sakhir-reference-06.jpg","The old file is an aerial of SEPANG CIRCUIT, Malaysia (name painted on the grandstand roof) - not Bahrain. Swapped for genuine 2025 Sakhir grid photography from the library; caption kept."
"130","bahrain-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-emirates-palace-ext-01.jpg","Verify / replace","removed-gap-recorded","","Abu Dhabi's Emirates Palace under 'Bahrain Fort and the National Museum'. No Bahrain destination photography exists anywhere in the repo. GAP: Bahrain Fort (Qal'at al-Bahrain) at sunset / Bahrain National Museum."
"131","bahrain-grand-prix-2027.html","assets/img/luxury/africa/index/africa-about-01.jpg","Verify / replace","removed-gap-recorded","","Generic African courtyard under 'Manama Souq and the Pearling Path'. GAP: Manama Souq / Pearling Path, Muharraq (UNESCO)."
"132","bahrain-grand-prix-2027.html","assets/img/luxury/north-america/index/north-america-destination-arizona.jpg","Replace","removed-gap-recorded","","Arizona desert resort under 'Royal Camel Farm and the Tree of Life'. GAP: Royal Camel Farm, Janabiyah / Tree of Life, Sakhir."
"133","bahrain-grand-prix-2027.html","assets/img/luxury/index/luxury-region-north-america.jpg","Verify / replace","removed-gap-recorded","","Unverified clifftop terrace under 'Bahrain Bay dining scene'. GAP: a Bahrain Bay / Manama waterfront dining photograph."
"938","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-band-01.jpg","Caption / replace","caption-corrected","","Photograph is the Golden Horn in Istanbul, not the circuit. Kept in the 'Vedere Says' transfer band with honest alt. The second placement of this same file (circuit section, captioned 'the grandstand view across the circuit') was replaced with f1-turkish-section-included.jpg, a genuine packed-grandstand view of Istanbul Park."
"941","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-package-hospitality-experience.jpg","Replace","removed-gap-recorded","","Image is the Ciragan Palace Kempinski pool on a card selling Istanbul Park circuit hospitality. Card image removed (matches austin.html, the template, where package cards carry no image). GAP: Istanbul Park hospitality-suite photography."
"942","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-package-luxury-race-weekend.jpg","Replace","removed-gap-recorded","","Image is an AlphaTauri demonstration run on the Galata Bridge, not the Official Team Hospitality being sold. Card image removed. GAP: Official Team Hospitality suite photography. NOTE: the demo-run file is genuine Istanbul F1 and could be re-placed elsewhere with accurate alt if the client wants it."
"944","turkish-grand-prix-2027.html","assets/img/luxury/africa/index/africa-about-01.jpg","Verify / replace","removed-gap-recorded","","Generic courtyard under 'Hagia Sophia, Blue Mosque and Topkapi'. GAP: photography of those three named monuments."
"945","turkish-grand-prix-2027.html","assets/img/luxury/europe/turkey/turkey-about-01.jpg","Replace","replaced","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-section-beyond.jpg","Aegean gulets replaced with the page's own genuine Bosphorus photograph - Ortakoy Mosque and the Bosphorus Bridge at sunset."
"946","turkish-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street under 'Grand Bazaar and Spice Bazaar'. GAP: Grand Bazaar / Spice Bazaar photography."
"947","turkish-grand-prix-2027.html","assets/img/luxury/europe/nordics/nordics-blue-lagoon-retreat-ext-01.jpg","Replace","removed-gap-recorded","","Iceland's Blue Lagoon Retreat under 'Hammam ritual, Kilic Ali Pasa'. GAP: Kilic Ali Pasa Hamami photography."
"161","boxing.html","assets/img/sports/index/sports-hero-02.jpg","Replace","replaced","assets/img/sports/library/other-sports-boxing/other-sports-boxing-01.jpg","Football World Cup crowd on the 'Fight Night' card replaced with the library's genuine Garcia v Benn ring photograph (a different frame from the page hero)."
"164","boxing.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","removed-gap-recorded","","Baseball club seats on the 'Ringside' card. The library holds only one boxing photograph, now used on the Fight Night card. Card image removed. GAP: genuine ringside / floor-seat photography at a boxing venue."
"165","boxing.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Wembley football-hospitality lounge reused on a boxing page under 'Hospitality - before the main event'. Figure removed. GAP: hospitality lounge photography at a boxing venue (T-Mobile Arena / MSG / Riyadh)."
"170","boxing.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort under 'The Grand Canyon'. No Grand Canyon photography in the library. GAP: Grand Canyon, ideally the helicopter day trip from Las Vegas."
"172","boxing.html","assets/img/hotels/the-phoenician/the-phoenician-ext-01.jpg","Replace","caption-corrected","","The photograph is correctly identified in its alt (The Phoenician, Scottsdale) and does illustrate the section's 'Arizona desert resorts' extension line; only the caption implied it was next to the Strip. Caption now reads 'Arizona - a short flight from Las Vegas for a slower few days.'"
"199","canadian-grand-prix-2027.html","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-package-premium-montr-al.jpg","Quality","already-resolved","","Package cards on the deployed page no longer carry images; the soft file is unreferenced."
"203","canadian-grand-prix-2027.html","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-band-01.jpg","Caption / replace","replaced","assets/img/sports/library/f1-canada-2026/f1-canada-2026-03.jpg","The old file is Beaver Lake on Mount Royal in autumn - not the circuit at all. Replaced with sharp 2026 Canadian Grand Prix racing photography from the library."
"204","canadian-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Grand Prix week street parties'. GAP: Crescent Street / Peel Street race-week closures, Montreal."
"205","canadian-grand-prix-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","removed-gap-recorded","","Galway pub street under 'Old Montreal and the basilica'. GAP: Old Montreal / Notre-Dame Basilica / Jean-Talon market."
"206","canadian-grand-prix-2027.html","assets/img/sports/f1/austin/austin-city-barbecue.jpg","Replace","removed-gap-recorded","","Texas barbecue under 'Montreal bagels vs. smoked meat'. GAP: St-Viateur bagels / Schwartz's smoked meat."
