reference,page,image,action,resolution,new_image,notes
428,index.html,assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg,Quality,replaced,assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-03.jpg,"Restored Featured Sports Journeys section. Old image was a heavy zoom/pan blur and the alt named Fernando Alonso although the car is a Mercedes. Swapped for the sharp wide Monaco 2026 frame (Rascasse / pit lane, Prince’s Palace above); alt rewritten with no driver named."
876,sports-travel.html,assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg,Quality,replaced,assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-03.jpg,Same Featured Sports Journeys card as index.html finding 428; identical fix applied.
462,italian-grand-prix-2026.html,assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-premium-monza.jpg,Quality,replaced,assets/img/sports/library/f1-italy-2026/f1-italy-2026-02.jpg,Restored packages section. Old file was a soft 900x600 pan shot. Replaced with sharp 2000x1333 client library photography from the 2026 Italian Grand Prix.
463,italian-grand-prix-2026.html,assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-hospitality-experience.jpg,Replace,replaced,assets/img/sports/library/f1-italy-2026/f1-italy-2026-03.jpg,"Old file was a dated hotel bedroom on a card selling Race Club circuit hospitality. No Monza hospitality photography exists in the library, so used the verified Monza main-straight/pit-lane frame (the view the Race Club overlooks) with alt that describes only the circuit. NEEDS SOURCING: interior/terrace photograph of the Race Club hospitality building at Monza."
550,mexico-city-grand-prix-2026.html,assets/img/sports/f1/mexico-city-grand-prix-2026/f1-mexico-city-package-hospitality-experience.jpg,Replace,replaced,assets/img/sports/library/f1-mexico-2025/f1-mexico-2025-01.jpg,Old file was a hotel bedroom on a card selling Gran Premio hospitality suites above the Main Grandstand. No Autodromo Hermanos Rodriguez hospitality photography in the library; used the verified 2025 race-start frame on the main straight. NEEDS SOURCING: photograph of the Gran Premio hospitality suites above the Main Grandstand.
646,nfl.html,assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg,Verify / replace,replaced,assets/img/sports/library/us-sports-nfl/us-sports-nfl-06.jpg,Confirmed the reviewer’s point: a Wembley football-hospitality asset was reused on an NFL Club Seats card. No NFL club-lounge photography in the library; replaced with verified Super Bowl LX action. NEEDS SOURCING: photograph of an NFL club-level lounge.
647,nfl.html,assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg,Verify / replace,replaced,assets/img/sports/library/us-sports-nfl/us-sports-nfl-02.jpg,"Wimbledon debenture-lounge asset reused on an NFL Private Suite card. Replaced with the verified wide Super Bowl LX view at Levi’s Stadium (the whole stadium below, suite tiers visible). NEEDS SOURCING: photograph of an NFL private stadium suite."
661,nhl.html,assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg,Verify / replace,replaced,assets/img/sports/library/us-sports-nhl-winter-classic/us-sports-nhl-winter-classic-01.jpg,"Masters wood-panelled lounge asset reused on an NHL Club Seats card, with no verified link to the product. Replaced with verified 2026 NHL Winter Classic arena photography. NEEDS SOURCING: photograph of an NHL arena club lounge."
730,premier-league-wembley-hospitality.html,assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg,Verify / replace,replaced,assets/img/sports/library/football-chelsea/football-chelsea-02.jpg,Wimbledon asset reused on the Season-Long / Corporate card. Replaced with the client’s verified Stamford Bridge pitch-hospitality photograph; both Wembley hospitality library frames were already in use elsewhere on the page.
805,sao-paulo-grand-prix-2026.html,assets/img/sports/f1/sao-paulo-grand-prix-2026/f1-sao-paulo-package-hospitality-experience.jpg,Replace,replaced,assets/img/sports/library/f1-brazil-2025/f1-brazil-2025-05.jpg,Old file was a hotel rooftop pool over the Sao Paulo skyline on a card selling the Interlagos Grand Prix Club. No Interlagos hospitality photography in the library; used verified 2025 Interlagos race photography. NEEDS SOURCING: photograph of the Grand Prix Club hospitality over start/finish at Interlagos.
863,spanish-grand-prix-2026.html,assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-grandstand-experience.jpg,Verify / replace,replaced,assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-01.jpg,"Old file showed rows of empty red seats in an unidentified stadium, not the MADRING La Monumental bowl. Replaced with verified 2026 Madrid race-weekend photography; alt does not name the corner."
864,spanish-grand-prix-2026.html,assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-premium-madrid.jpg,Verify / replace,replaced,assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-02.jpg,"Old file looked like a CGI render of a hospitality building, unverifiable as a post-opening MADRING photograph and not the Pit Straight Grandstand the card sells. Replaced with verified 2026 Madrid photography."
866,spanish-grand-prix-2026.html,assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-luxury-race-weekend.jpg,Verify / replace,replaced,assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-05.jpg,"Old file was House 44 at the F1 Paddock Club at another circuit (green British-style grandstand behind), used on a card selling Official Team Hospitality at Madrid. Replaced with the verified 2026 Madrid qualifying top-three frame. NEEDS SOURCING: photograph of team hospitality at the Madrid race."
