page,card_heading,old_src,action,new_file,alt,credit,licence,source_url,image_url,reason
"/formula-one/abu-dhabi-grand-prix","After-Race Concerts at Etihad Live","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/abu-dhabi-grand-prix/etihad-park-concert-01.jpg","A packed crowd and laser show at an evening concert in Etihad Park, Yas Island, Abu Dhabi","Showsdaynite","CC BY 4.0","https://commons.wikimedia.org/wiki/File:Etihad_Park.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6d/Etihad_Park.jpg","Austin music-venue interior, not Etihad Park/Abu Dhabi"
"/formula-one/austin-grand-prix","Hospitality Experience","/assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","replaced","/assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-03.jpg","Max Verstappen celebrates at the 2025 United States Grand Prix in Austin","client library","client-supplied","client library","","Augusta Masters ""Map & Flag"" dining room - a golf venue"
"/formula-one/austin-grand-prix","Luxury Race Weekend","/assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","replaced","/assets/img/sports/library/f1-united-states-2025/f1-united-states-2025-06.jpg","Max Verstappen on track during the 2025 United States Grand Prix in Austin","client library","client-supplied","client library","","Wimbledon debenture lounge dining room"
"/formula-one/austrian-grand-prix","Alpine day","/assets/img/luxury/villas/index/villas-destination-alpine-amp-beyond.jpg","replaced","/assets/img/sourced/austrian-grand-prix/gruner-see-01.jpg","The clear green water of the Grüner See at Tragöß, with the Pribitz peak reflected, Styria","GT1976","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:2017-09-09_(185)_Gr%C3%BCner_See_at_Trag%C3%B6%C3%9F_with_Pribitz,_Austria.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fb/2017-09-09_%28185%29_Gr%C3%BCner_See_at_Trag%C3%B6%C3%9F_with_Pribitz%2C_Austria.jpg","Snowy alpine chalet (winter, generic Alps) - card is a July Styria day to Grüner See/Erzberg"
"/formula-one/azerbaijan-grand-prix","Crystal Hall concerts","/assets/img/sports/f1/austin/austin-city-live-music.jpg","removed","","","","","","","Austin music-venue interior, not Baku Crystal Hall"
"/formula-one/belgian-grand-prix","Frites, gaufres and Trappist tastings","/assets/img/sports/tennis/wimbledon-2027/wimbledon-section-strawberries.jpg","replaced","/assets/img/sourced/belgian-grand-prix/belgian-frites-01.jpg","A cone of Belgian frites with sauce andalouse in Brussels","CCPictureHunters WikipediaShare","Public domain","https://commons.wikimedia.org/wiki/File:Belgian_fries_with_sauce_andalouse_in_Brussels.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e2/Belgian_fries_with_sauce_andalouse_in_Brussels.jpg","Wimbledon strawberries and ice cream"
"/formula-one/canadian-grand-prix","Cirque du Soleil","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/canadian-grand-prix/cirque-du-soleil-old-port-01.jpg","Cirque du Soleil's blue-and-yellow big top in the Old Port of Montréal","Jean Gagnon","CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:Chapiteau_Cirque_du_Soleil_01.JPG","https://upload.wikimedia.org/wikipedia/commons/c/ce/Chapiteau_Cirque_du_Soleil_01.JPG","Austin music-venue interior, not Cirque du Soleil"
"/formula-one/chinese-grand-prix","Xintiandi and Found 158 dining","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/chinese-grand-prix/xintiandi-01.jpg","Shikumen lanes, café terraces and plane trees in Xintiandi, Shanghai","Fabio Achilli from Milano, Italy","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Xintiandi,_Shanghai,_China_(9734263917).jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/Xintiandi%2C_Shanghai%2C_China_%289734263917%29.jpg","Roland-Garros hospitality dining room"
"/formula-one/dutch-grand-prix","Martin Garrix live at the circuit","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/dutch-grand-prix/martin-garrix-live-01.jpg","Martin Garrix on stage with pyrotechnics in front of a large crowd","Louis Van Baar","CC0","https://commons.wikimedia.org/wiki/File:Martin_Garrix_Americas_Tour_The_Gorge_Amphitheatre.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9a/Martin_Garrix_Americas_Tour_The_Gorge_Amphitheatre.jpg","Austin music-venue interior"
"/formula-one/hungarian-grand-prix","Ruin bars of the Jewish Quarter","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/hungarian-grand-prix/szimpla-kert-01.jpg","The courtyard of Szimpla Kert ruin bar in Budapest's Jewish Quarter, hung with lights and salvaged objects","Jorge Franganillo","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Budapest_Szimpla_Kert_(54328707747).jpg","https://upload.wikimedia.org/wikipedia/commons/1/1d/Budapest_Szimpla_Kert_%2854328707747%29.jpg","Austin music-venue interior"
"/formula-one/italian-grand-prix","Aperitivo in Brera and Navigli","/assets/img/luxury/europe/italy/italy-portrait-milano-ext-01.jpg","replaced","/assets/img/sourced/italian-grand-prix/naviglio-grande-01.jpg","The Naviglio Grande canal in Milan at dusk, with bar lights reflected in the water","Dennis Jarvis (deensel), Flickr","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Milan_Naviglio_Grande_at_sunset_HD_01.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/Milan_Naviglio_Grande_at_sunset_HD_01.jpg","Courtyard of the Portrait Milano hotel (Corso Venezia) - neither Brera nor the Navigli"
"/formula-one/las-vegas-grand-prix","The residencies and shows","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/las-vegas-grand-prix/colosseum-caesars-palace-01.jpg","The Colosseum theatre at Caesars Palace lit up at night, Las Vegas","Supercarwaar","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","Austin music-venue interior"
"/formula-one/las-vegas-grand-prix","Dinner on the Strip","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/las-vegas-grand-prix/strip-night-01.jpg","The Las Vegas Strip at night, with casino signs and the Paris Las Vegas Eiffel Tower","Dietmar Rabich","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Las_Vegas_(Nevada,_USA),_The_Strip_--_2012_--_6232.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Las_Vegas_%28Nevada%2C_USA%29%2C_The_Strip_--_2012_--_6232.jpg","Roland-Garros hospitality dining room"
"/formula-one/mexico-city-grand-prix","Pujol or Quintonil","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/mexico-city-grand-prix/pujol-mole-madre-01.jpg","Pujol's signature mole madre served on a white plate, Mexico City","City Foodsters","CC BY 2.0","https://commons.wikimedia.org/wiki/File:10-_Mole_madre_(11398289723).jpg","https://upload.wikimedia.org/wikipedia/commons/2/27/10-_Mole_madre_%2811398289723%29.jpg","Roland-Garros hospitality dining room"
