page,type,slot,old_or_subject,status,new_file,width,height,alt,credit,licence,source_url,image_url,note
"/about-us","large","replace","/assets/img/luxury/index/luxury-band-01.jpg","library","/assets/img/sourced/about-us/luxury-resort-dusk-01.jpg","2400","1600","Gardens and swimming pool at dusk at Maslina Resort, Hvar, Croatia","Vedere Travel client image library (Maslina Resort press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Maslina Resort/hero--maslina-resort-gardens-and-swimming-pool-at-dusk--cf13c178bf7a.jpg","","The original photo (an unidentified Tuscan resort) has no sharper source. Replaced with a same-role client-library press photo of Maslina Resort at dusk. The band is a generic quote band on the About page, so the section is unchanged. Update the alt, because the property is different."
"/formula-one/malaysian-grand-prix","large","replace","/assets/img/sports/f1/malaysian-grand-prix-2026/f1-malaysian-band-01.jpg","sourced","/assets/img/sourced/malaysian-grand-prix/sepang-opening-lap-01.jpg","2400","1200","The Formula 1 field on the opening lap of the 2015 Malaysian Grand Prix at Sepang International Circuit","Morio","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:2015_Malaysian_GP_opening_lap.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a2/2015_Malaysian_GP_opening_lap.jpg","Same venue and event (Sepang, Malaysian Grand Prix). Kept the native 2:1 frame, because a 3:2 crop would fall below 2000px. Commons file: 2015 Malaysian GP opening lap.jpg."
"/formula-one/miami-grand-prix","large","replace","/assets/img/sports/f1/austin/austin-city-live-music.jpg","sourced","/assets/img/sourced/miami-grand-prix/ocean-drive-night-01.jpg","2400","1498","Neon-lit Art Deco hotels and pavement restaurants on Ocean Drive, Miami Beach, at night","Gzzz","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Ocean_Drive_by_night_1.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Ocean_Drive_by_night_1.jpg","The current image is an Austin live-music venue on the Miami page. Replaced with Miami nightlife on Ocean Drive, which the copy beside it names (South Beach + Ocean Drive, race-week parties). Different photograph, same role; update the alt. Commons file: Ocean Drive by night 1.jpg."
"/formula-one/monaco-grand-prix","large","replace","/assets/img/luxury/europe/france/france-cheval-blanc-st-tropez-ext-01.jpg","library","/assets/img/sourced/monaco-grand-prix/cheval-blanc-st-tropez-01.jpg","2400","1600","Cheval Blanc St-Tropez and its private beach on the Gulf of Saint-Tropez, seen from above","Vedere Travel client image library (Cheval Blanc St-Tropez press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Cheval Blanc St-Tropez/hero-alternative--cheval-blanc-st-tropez-beach-from-above-oliver-fly-2024-portrait-original--645fa0deb1a5.jpg","","Same property, from the client library press set (6048x8064 portrait original, cropped to landscape)."
"/formula-one/monaco-grand-prix","large","replace","/assets/img/luxury/europe/france/france-eden-roc-ext-01.jpg","library","/assets/img/sourced/monaco-grand-prix/hotel-du-cap-eden-roc-01.jpg","2400","1552","The Eden-Roc swimming pool above the sea at sunset, Hôtel du Cap-Eden-Roc, Cap d'Antibes","Vedere Travel client image library (Hôtel du Cap-Eden-Roc press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Hôtel du Cap-Eden-Roc/hero--2023-09-eden-roc-piscine-coucher-de-soleil-1-sans-nuages-noir-jpg--cb1a0c65f6ee.jpg","","Same property and viewpoint, from the client library press set (4134px original)."
"/formula-one/portuguese-grand-prix","large","replace","/assets/img/sports/f1/portuguese-grand-prix-2027/f1-portuguese-band-01.jpg","sourced","/assets/img/sourced/portuguese-grand-prix/portimao-marina-aerial-01.jpg","2400","1600","Portimão marina and the mouth of the Arade estuary from the air, Algarve","Joseolgon","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Aerial_Marina_de_Portim%C3%A3o.jpg","https://upload.wikimedia.org/wikipedia/commons/2/26/Aerial_Marina_de_Portim%C3%A3o.jpg","Same place (Portimão marina and the Arade estuary from the air). The hotel in the old foreground could not be identified, so it is not in this frame. Commons file: Aerial Marina de Portimão.jpg."
"/formula-one/saudi-arabian-grand-prix","large","replace","/assets/img/sports/f1/saudi-arabian-grand-prix-2027/f1-saudi-arabian-band-01.jpg","sourced","/assets/img/sourced/saudi-arabian-grand-prix/jeddah-corniche-01.jpg","2400","1600","Towers above the beach and promenade on the Jeddah Corniche, Saudi Arabia","Radosław Botev","CC BY 3.0 pl","https://commons.wikimedia.org/wiki/File:Jeddah_Corniche_(1).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a5/Jeddah_Corniche_%281%29.jpg","Same subject (the Jeddah waterfront and towers), but in daylight rather than at sunset; update the alt. The image is used twice on the page. Commons file: Jeddah Corniche (1).jpg."
"/formula-one/spanish-grand-prix","large","replace","/assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-band-01.jpg","sourced","/assets/img/sourced/spanish-grand-prix/cuatro-torres-sunset-01.jpg","2048","1365","The Cuatro Torres skyline of Madrid silhouetted at sunset","Saúl De León","CC BY 3.0","https://commons.wikimedia.org/wiki/File:Twilight_At_4_Towers_In_Madrid_(226381885).jpeg","https://upload.wikimedia.org/wikipedia/commons/5/5e/Twilight_At_4_Towers_In_Madrid_%28226381885%29.jpeg","Same subject and mood. Commons file: Twilight At 4 Towers In Madrid (226381885).jpeg."
"/formula-one/turkish-grand-prix","large","replace","/assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-band-01.jpg","sourced","/assets/img/sourced/turkish-grand-prix/golden-horn-suleymaniye-01.jpg","2400","1440","Ferries on the Golden Horn below the Süleymaniye Mosque, Istanbul","Jorge Franganillo","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Istanbul_-_Golden_Horn.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Istanbul_-_Golden_Horn.jpg","Same subject and viewpoint. Commons file: Istanbul - Golden Horn.jpg."
"/luxury-travel/africa","large","replace","/assets/img/luxury/africa/index/africa-band-01.jpg","library","/assets/img/sourced/africa/okavango-mombo-aerial-01.jpg","2400","1600","The Okavango Delta around Mombo Camp, Botswana, seen from the air at golden hour","Vedere Travel client image library (Mombo Camp press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Mombo Camp/hero-alternative--wilderness-mombo-aerial-view-in-the-okavango-delta--a23196aa6bce.jpg","","The old photo (an unidentified hilltop lodge beneath a volcano, probably in Rwanda) has no sharper source. Replaced with a client-library image that matches the band quote about the Okavango Delta. Different photograph, same role; update the alt."
"/luxury-travel/africa/kenya","large","replace","/assets/img/luxury/africa/index/africa-band-01.jpg","library","/assets/img/destinations/kenya/kenya-01.jpg","2000","1333","Giraffes on the plains of the Maasai Mara, Kenya","Vedere Travel client image library","client library","client library original: Selected originals/Destinations/Kenya/destination-hero--giraffes-in-the-maasai-mara-kenya--0edc78ddc1d1.jpg","","The old image (a lodge beneath a volcano, not in Kenya) is replaced with a client-library Maasai Mara image not yet used on this page, which matches the band quote about the Mara. The library file is 2000px wide, so no new file is needed."
"/luxury-travel/asia","large","replace","/assets/img/luxury/asia/index/asia-band-01.jpg","library","/assets/img/sourced/asia/six-senses-ninh-van-bay-01.jpg","2400","1601","Terrace and infinity pool above the bay at Six Senses Ninh Van Bay, Vietnam","Vedere Travel client image library (Six Senses Ninh Van Bay press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Six Senses Ninh Van Bay/hero-alternative--1-hilltop-reserve-exterior2-jpg--c372941ce036.jpg","","Same property (Six Senses Ninh Van Bay), shown in a different client-library press view (7952px original). The rock-villa shot currently in use is not in the library at higher resolution, and the aerial ext-01 is already on this page."
"/luxury-travel/caribbean/barbados","large","replace","/assets/img/luxury/caribbean/index/caribbean-band-01.jpg","library","/assets/img/destinations/barbados/barbados-01.jpg","2000","1333","Coastal rock formations and palms at Bathsheba on the east coast of Barbados","Vedere Travel client image library","client library","client library original: Selected originals/Destinations/Barbados/hero--bathshebas-coastal-rock-formations-and-palms-barbados--0e95596f1eb6.jpg","","The old image is an unidentified Caribbean beach. Replaced with the only client-library Barbados scene not already on this page. The library file is 2000px, so no new file is needed."
"/luxury-travel/caribbean","large","replace","/assets/img/luxury/caribbean/index/caribbean-band-01.jpg","library","/assets/img/sourced/caribbean/antigua-beach-palms-01.jpg","2400","1600","Palms and turquoise water on a beach in Antigua","Vedere Travel client image library","client library","client library original: Selected originals/Destinations/Antigua/portrait-alternative--palms-and-turquoise-water-on-an-antigua-beach--37508bc8e47b.jpg","","The old image is an unidentified Caribbean beach. Replaced with an unused client-library Caribbean beach (3024x4032 original, cropped to landscape). Different photograph, same role."
"/luxury-travel/europe","large","replace","/assets/img/luxury/europe/index/europe-band-01.jpg","library","/assets/img/sourced/europe/grand-hotel-tremezzo-lake-como-01.jpg","2400","1600","The glass-walled pool at Grand Hotel Tremezzo looking out over Lake Como, Italy","Vedere Travel client image library (Grand Hotel Tremezzo press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Grand Hotel Tremezzo/hero-alternative--infinity-pool-overlooking-lake-como-at-grand-hotel-tremezzo--e1fe6da361ec.jpg","","The old image appears to be Vila Vita Parc in the Algarve, and its library original is only 1920px. Replaced with a client-library Italian press image that matches the band quote about September in Italy. Different photograph, same role; update the alt."
"/luxury-travel/indian-ocean","large","replace","/assets/img/luxury/indian-ocean/index/indian-ocean-band-01.jpg","library","/assets/img/destinations/maldives/maldives-02.jpg","2000","1332","Tropical coastline and turquoise water in the Maldives","Vedere Travel client image library","client library","client library original: Selected originals/Destinations/Maldives/destination-hero--tropical-coastline-and-turquoise-water-maldives--284d2e93d004.jpg","","The old image shows Sigiriya in Sri Lanka, but the band quote is about Maldives seaplanes. Replaced with an unused client-library Maldives image (2000px file already in the repo)."
"/luxury-travel/middle-east/abu-dhabi","large","replace","/assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-band-01.jpg","library","/assets/img/sports/library/f1-abu-dhabi-2025/f1-abu-dhabi-2025-05.jpg","2000","1356","The main straight and grandstands at Yas Marina Circuit at dusk during the 2025 Abu Dhabi Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/23 Abu Dhabi - 2025/race-day--max-verstappen-track-action--f1-83d90164b046.jpg","","Same subject (Yas Marina Circuit at dusk). Client-library event photograph, 2000px, already in the repo."
"/luxury-travel/middle-east","large","replace","/assets/img/luxury/middle-east/index/middle-east-band-01.jpg","library","/assets/img/sourced/middle-east/one-and-only-the-palm-pool-01.jpg","2400","1600","Pool and exterior at One&Only The Palm, Dubai","Vedere Travel client image library (One&Only The Palm press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/One&Only The Palm/hero--2602223-one-only-thepalm-pool-wide-exterior-1834-opt1-master-medium--8b35f033c5c0.jpg","","The exact same photograph (perceptual match), taken from the 4000px client-library original. Its 1600px copy is also used on a hotel card on this page."
"/luxury-travel/north-america/arizona","large","replace","/assets/img/luxury/north-america/index/north-america-band-01.jpg","library","/assets/img/sourced/north-america/amangiri-pool-dusk-01.jpg","2400","1800","The pool and lit pavilion beneath the canyon cliffs at dusk at Amangiri, Utah","Vedere Travel client image library (Amangiri press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Amangiri/hero-alternative--23-09-amangiri-views-0772-jpg--74321dbc1c47.webp","","The exact same photograph, from the 2500px client-library original (the largest available)."
"/luxury-travel/north-america","large","replace","/assets/img/luxury/north-america/index/north-america-band-01.jpg","library","/assets/img/sourced/north-america/amangiri-pool-dusk-01.jpg","2400","1800","The pool and lit pavilion beneath the canyon cliffs at dusk at Amangiri, Utah","Vedere Travel client image library (Amangiri press image)","hotel press image supplied in client library","client library original: Selected originals/Hotels/Amangiri/hero-alternative--23-09-amangiri-views-0772-jpg--74321dbc1c47.webp","","The exact same photograph, from the 2500px client-library original (the largest available)."
"/luxury-travel/villas","large","replace","/assets/img/luxury/villas/index/villas-band-01.jpg","not-found","","","","","","","","","An unidentified private villa near Florence, with a railway viaduct behind it. The client library has no villa image of 2000px or more. Commons has only historic Medici villas, which would misrepresent a rental villa."
"/sports-travel/other-sports/boxing","large","replace","/assets/img/sports/other-sports/index/other-sports-band-01.jpg","not-found","","","","","","","","","Shows a boxing night at Madison Square Garden. No licensed photo of a packed pro-boxing arena at 2000px or more was found. The nearest candidate, Commons ""File:Olympic Boxing, Excel Arena, 2012.jpg"" (3264px, CC BY 2.0), was rejected because the London 2012 Olympic branding is prominent. The client-library boxing image is 1920px and is already the boxing hero."
"/sports-travel/other-sports","large","replace","/assets/img/sports/other-sports/index/other-sports-band-01.jpg","not-found","","","","","","","","","Shows a boxing night at Madison Square Garden. No licensed photo of a packed pro-boxing arena at 2000px or more was found. The nearest candidate, Commons ""File:Olympic Boxing, Excel Arena, 2012.jpg"" (3264px, CC BY 2.0), was rejected because the London 2012 Olympic branding is prominent. The client-library boxing image is 1920px and is already the boxing hero."
"/sports-travel/other-sports/ufc","large","replace","/assets/img/sports/f1/las-vegas-grand-prix-2026/f1-las-vegas-section-beyond.jpg","sourced","/assets/img/sourced/ufc/paris-las-vegas-01.jpg","2400","1600","Paris Las Vegas and its replica Eiffel Tower on the Strip, seen from the Bellagio","Jürgen Matern","CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:The_hotel_Paris_Las_Vegas_as_seen_from_the_hotel_The_Bellagio.jpg","https://upload.wikimedia.org/wikipedia/commons/5/51/The_hotel_Paris_Las_Vegas_as_seen_from_the_hotel_The_Bellagio.jpg","Same subject (Paris Las Vegas), in daylight rather than at sunset; update the alt. Commons file: The hotel Paris Las Vegas as seen from the hotel The Bellagio.jpg."
"/sports-travel/tennis/australian-open","large","replace","/assets/img/sports/tennis/australian-open-2027/australian-open-band-01.jpg","sourced","/assets/img/sourced/australian-open/melbourne-park-aerial-01.jpg","2400","1600","Melbourne Park during the Australian Open, with the Yarra River below and the city beyond, from the air","annieb","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Melbourne_Park_-_Tennis.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/Melbourne_Park_-_Tennis.jpg","Same subject (Melbourne Park and the Yarra from above). Commons file: Melbourne Park - Tennis.jpg."
"/sports-travel/tennis/us-open","large","replace","/assets/img/sports/tennis/us-open-2027/us-open-band-01.jpg","sourced","/assets/img/sourced/us-open/flushing-meadows-unisphere-01.jpg","2400","1590","The US Open grounds at Flushing Meadows and the Unisphere, seen from the top of Arthur Ashe Stadium","slgckgc","CC BY 2.0","https://commons.wikimedia.org/wiki/File:View_of_the_Unisphere_From_the_Top_of_the_Arthur_Ashe_Stadium_(9610307937).jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/View_of_the_Unisphere_From_the_Top_of_the_Arthur_Ashe_Stadium_%289610307937%29.jpg","Same place: Flushing Meadows with the Unisphere, photographed during the 2013 US Open. The view is from the top of Ashe rather than from the air; update the alt. The only true aerial on Commons (a CC0 shot from an airliner) has a plane wing across the frame. Commons file: View of the Unisphere From the Top of the Arthur Ashe Stadium (9610307937).jpg."
"/sports-travel/us-sports","large","replace","/assets/img/sports/us-sports/index/us-sports-band-01.jpg","sourced","/assets/img/sourced/us-sports/chicago-skyline-expressway-01.jpg","2400","1600","The Chicago skyline beyond the Eisenhower Expressway and a CTA Blue Line train","AlphaBeta135","CC BY 4.0","https://commons.wikimedia.org/wiki/File:I-290_and_CTA_Blue_Line_-_Chicago,_IL_-_November_2025.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/I-290_and_CTA_Blue_Line_-_Chicago%2C_IL_-_November_2025.jpg","Same subject and type of viewpoint. Commons file: I-290 and CTA Blue Line - Chicago, IL - November 2025.jpg."
"/sports-travel/us-sports/mlb","large","replace","/assets/img/sports/index/sports-card-us-sports.jpg","sourced","/assets/img/sourced/mlb/yankee-stadium-sunset-01.jpg","2400","1600","Yankee Stadium beneath a dramatic sky at sunset during a game","Eric Kilby","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Yankee_Stadium_Sunset.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b9/Yankee_Stadium_Sunset.jpg","Same subject. Commons file: Yankee Stadium Sunset.jpg."
